monthid	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
January,2011	128272	0	128272	220215	20125	0	504	0	504	0	525	0	525	0	229	0	0	0	0	0	0	108	194	0	194	302
February,2011	132925	0	132925	215018	18336	0	562	0	562	0	359	0	359	0	241	0	0	0	0	0	0	87	208	0	208	295
March,2011	128821	0	128821	218297	19215	0	607	0	607	0	478	0	478	0	173	0	0	0	0	0	0	82	264	0	264	346
April,2011	132417	0	132417	210348	20083	0	1097	0	1097	0	637	0	637	0	91	0	0	0	0	0	0	106	327	0	327	433
May,2011	126342	0	126342	201953	18046	0	528	0	528	0	299	0	299	0	33	0	0	0	0	0	0	96	169	0	169	265
June,2011	128066	0	128066	189762	18043	0	511	0	511	0	249	0	249	0	18	0	0	0	0	0	0	52	219	0	219	271
July,2011	127383	0	127383	205042	20334	0	547	0	547	0	199	0	199	0	10	0	0	0	0	0	0	74	299	0	299	373
August,2011	125202	0	125202	203403	17109	0	268	0	268	0	45	0	45	0	41	0	0	0	0	0	0	55	123	0	123	178
September,2011	129661	0	129661	208677	18954	0	386	0	386	0	140	0	140	0	18	0	0	0	0	0	0	64	294	0	294	358
October,2011	131361	0	131361	216373	21029	0	654	0	654	0	183	0	183	0	8	0	0	0	0	0	0	96	327	0	327	423
November,2011	126618	0	126618	211879	18242	0	404	0	404	0	161	0	161	0	16	0	0	0	0	0	0	56	201	0	201	257
December,2011	124795	0	124795	204536	19068	0	443	0	443	0	97	0	97	0	0	0	0	0	0	0	0	39	165	0	165	204
January,2012	128965	0	128965	211882	20893	0	483	0	483	0	138	0	138	0	0	0	0	0	0	0	0	43	256	0	256	299
February,2012	130876	0	130876	211074	18874	0	479	0	479	0	213	0	213	0	0	0	0	0	0	0	0	49	240	0	240	289
March,2012	128826	0	128826	211286	20332	0	986	0	986	0	321	0	321	0	0	0	0	0	0	0	0	50	295	0	295	345
April,2012	136267	0	136267	215740	20589	0	412	0	412	0	146	0	146	0	0	0	0	0	0	0	0	44	152	0	152	196
May,2012	131855	0	131855	219033	18869	0	413	0	413	0	91	0	91	0	9	0	0	0	0	0	0	59	127	0	127	186
June,2012	109293	0	109293	167085	16304	0	349	0	349	0	123	0	123	0	0	0	0	0	0	0	0	9	187	0	187	196
July,2012	112639	0	112639	175568	18310	0	354	0	354	0	132	0	132	0	0	0	0	0	0	0	0	81	190	0	190	271
August,2012	109736	0	109736	167448	15344	0	266	0	266	0	58	0	58	0	0	0	0	0	0	0	0	77	96	0	96	173
September,2012	126513	0	126513	218654	19410	0	857	0	857	0	353	0	353	0	6	0	0	0	0	0	0	95	357	0	357	452
October,2012	127628	0	127628	222044	20627	0	488	0	488	0	101	0	101	0	59	0	0	0	0	0	0	94	141	0	141	235
November,2012	124710	0	124710	220500	18477	0	490	0	490	0	247	0	247	0	61	0	0	0	0	0	0	79	266	0	266	345
December,2012	129544	0	129544	232349	20682	0	693	0	693	0	299	0	299	0	0	0	0	0	0	0	0	101	230	0	230	331
January,2013	131135	0	131135	251727	21388	16761	639	0	639	51	246	0	246	34	0	0	0	0	0	0	0	119	143	61	204	323
February,2013	137007	0	137007	252368	19627	20186	494	4	498	44	208	0	208	85	0	0	0	0	0	0	0	94	159	36	195	289
March,2013	133035	0	133035	246044	20527	18609	492	0	492	61	234	0	234	63	0	0	0	0	0	0	0	90	188	52	240	330
April,2013	137435	0	137435	245330	20609	21789	577	0	577	55	250	0	250	37	0	0	0	0	0	0	0	104	144	1	145	249
May,2013	119932	0	119932	232686	20126	21271	908	0	908	41	274	0	274	12	0	0	0	0	0	0	0	39	152	43	195	234
June,2013	129893	0	129893	240801	20999	22236	454	0	454	44	161	0	161	72	0	0	0	0	0	0	0	89	152	24	176	265
July,2013	130864	0	130864	245830	22958	24147	286	0	286	42	113	0	113	45	0	0	0	0	0	0	0	120	89	8	97	217
August,2013	131641	0	131641	246321	20099	21615	391	0	391	27	161	0	161	60	0	0	0	0	0	0	0	80	133	38	171	251
