Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,12,90,14,BURISHWAR
20,12,90,17,BOLAKOT
20,12,90,21,CHAPARTALA
20,12,90,29,CHATALPAR
20,12,90,36,DHAR MANDAL
20,12,90,43,FANDAUK
20,12,90,51,GOALNAGAR
20,12,90,58,GOKARNA
20,12,90,65,GUNIAK
20,12,90,73,HARIPUR
20,12,90,80,KUNDA
20,12,90,87,NASIRNAGAR
20,12,90,94,PURBABAGH
20,12,94,,SARAIL
20,12,94,13,AORAIL
20,12,94,19,CHUNTA
20,12,94,28,KALIKACHCHHA
20,12,94,38,NOAGAON
20,12,94,47,PAK SHIMUL
20,12,94,76,SARAIL
20,12,94,85,SHAHBAZPUR
20,12,94,90,SHAHJADAPUR
20,12,94,94,UTTAR PANISAR
20,13,,,CHANDPUR
20,13,22,,CHANDPUR SADAR
20,13,22,18,ASHIKATI
20,13,22,20,KALYANPUR
20,13,22,22,BAGHADI
20,13,22,27,BALIA
20,13,22,31,BISHNUPUR
20,13,22,54,CHANDRA
20,13,22,58,HANAR CHAR
20,13,22,63,IBRAHIMPUR
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,13,22,67,MAISHADI
20,13,22,76,RAJRAJESHWAR
20,13,22,81,SHAH MAHMUDPUR
20,13,22,85,RAMPUR
20,13,22,90,LAKSHMIPUR MODEL
20,13,22,94,TARPUR CHANDI
20,13,45,,FARIDGANJ
20,13,45,11,PASCHIM BALUTHUPA
20,13,45,13,PURBA BALUTHUPA
20,13,45,17,PURBA CHAR DUKHIA
20,13,45,23,PASCHIM CHAR DUKHIA
20,13,45,35,DAKSHIN FARIDGANJ
20,13,45,41,UTTAR GOBINDAPUR
20,13,45,47,DAKSHIN GOBINDAPUR
20,13,45,53,PURBA GUPTI
20,13,45,59,PASCHIM GUPTI
20,13,45,65,UTTAR PAIKPARA
20,13,45,71,DAKSHIN PAIK PARA
20,13,45,77,UTTAR RUPSA
20,13,45,83,DAKSHIN RUPSA
20,13,45,89,PURBA SUBIDPUR
20,13,45,95,PASCHIM SUBIDPUR
20,13,47,,HAIM CHAR
20,13,47,11,UTTAR ALGI DURGAPUR
20,13,47,23,DAKSHIN ALGI DURGAPUR
20,13,47,35,CHAR BHAIRABI
20,13,47,47,HAIM CHAR
20,13,47,59,GAZIPUR
20,13,47,71,NILKAMAL
20,13,49,,HAJIGANJ
20,13,49,18,PURBA BARKUL
20,13,49,20,PASCHIM BARKUL
20,13,49,25,UTTAR GANDHARABPUR
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,13,49,30,DAKSHIN GANDHARBAPUR
20,13,49,35,HAJIGANJ
20,13,49,50,UTTAR KALOCHO
