,thana,District,Division,program
3,Ghatail,0412,04(1),thana_process
4,Basail,0412,04(1),thana_process
5,Tangail,0412,04(1),thana_process
6,Kalihati,0412,04(1),thana_process
7,Modhupur,0412,04(1),thana_process
8,Gopalpur,0412,04(1),thana_process
9,Shakhipur,0412,04(1),thana_process
10,Delduar,0412,04(1),thana_process
0,Atghoria,0115,01(1),thana_process
1,Pabna,0115,01(1),thana_process
2,Chatmohor,0115,01(1),thana_process
3,Ishwardi,0115,01(1),thana_process
4,Faridpur,0115,01(1),thana_process
5,Sujanagar,0115,01(1),thana_process
6,Santhia,0115,01(1),thana_process
7,Bera,0115,01(1),thana_process
8,Bhangoora,0115,01(1),thana_process
0,Digholia,0208,02(1),thana_process
1,Dumuria,0208,02(1),thana_process
2,Khulna,0208,02(1),thana_process
3,Dacope,0208,02(1),thana_process
4,Terokhada,0208,02(1),thana_process
5,Fultala,0208,02(1),thana_process
6,Batiaghata,0208,02(1),thana_process
7,Paikgachha,0208,02(1),thana_process
8,Rupsha,0208,02(1),thana_process
9,Koyra,0208,02(1),thana_process
0,Sripur,0205,02(1),thana_process
1,Magura,0205,02(1),thana_process
2,Shalikha,0205,02(1),thana_process
3,Mohammadpur,0205,02(1),thana_process
0,Kaliakair,0407,04(1),thana_process
1,Sreepur,0407,04(1),thana_process
2,Gazipur,0407,04(1),thana_process
3,Kapasia,0407,04(1),thana_process
4,Kaliganj,0407,04(1),thana_process
5,Tongi,0407,04(1),thana_process
0,Katiadi,0416,04(1),thana_process
1,Bhariab,0416,04(1),thana_process
2,Austagram,0416,04(1),thana_process
3,Kishoreganj,0416,04(1),thana_process
4,Hossainpur,0416,04(1),thana_process
5,Nikli,0416,04(1),thana_process
6,Bazitpur,0416,04(1),thana_process
7,Pakundia,0416,04(1),thana_process
8,Itna,0416,04(1),thana_process
9,Kuliarchar,0416,04(1),thana_process
10,Tarail,0416,04(1),thana_process
11,Karimganj,0416,04(1),thana_process
12,Mithamoin,0416,04(1),thana_process
0,Boda,0103,07(1),thana_process
1,Panchgarh,0103,07(1),thana_process
2,Tetulia,0103,07(1),thana_process
3,Atowari,0103,07(1),thana_process
4,Debiganj,0103,07(1),thana_process
