ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
85,3.0,XX.0,XXX,XX,02,  Badarganj Upazila,25286,9.5,11.0,10.7,9.2,8.6,9.5,27.1,7.0,2.7,4.6,00110
85,3.0,XX.0,XXX,XX,02,Badarganj  Paurashava,25286,9.5,11.0,10.7,9.2,8.6,9.5,27.1,7.0,2.7,4.6,00110
85,42.0,XX.0,XXX,XX,02,  Kaunia Upazila,61425,9.9,12.7,12.0,9.4,8.8,8.9,25.0,6.5,2.7,4.2,00110
85,42.0,XX.0,XXX,XX,02,Haragachh (Kaunia)  Paurashava,61425,9.9,12.7,12.0,9.4,8.8,8.9,25.0,6.5,2.7,4.2,00110
85,49.0,XX.0,XXX,XX,02,  Rangpur Sadar Upazila,300659,7.7,9.5,11.3,11.2,12.2,9.9,26.2,6.4,2.2,3.4,00110
49,XX.0,XX.0,XXX,XX,02, Kurigram Zila,185474,9.8,11.1,11.2,9.5,9.5,9.4,25.2,6.7,2.8,4.8,00110
49,52.0,XX.0,XXX,XX,02,  Kurigram Sadar Upazila,77252,9.3,10.3,11.2,10.9,10.8,9.8,25.2,6.2,2.5,3.8,00110
49,52.0,XX.0,XXX,XX,02,Kurigram  Paurashava,77252,9.3,10.3,11.2,10.9,10.8,9.8,25.2,6.2,2.5,3.8,00110
49,61.0,XX.0,XXX,XX,02,  Nageshwari Upazila,62289,10.7,11.8,11.4,9.4,9.0,9.4,24.3,6.6,2.6,4.8,00110
49,61.0,XX.0,XXX,XX,02,Nageshwari Paurashava,62289,10.7,11.8,11.4,9.4,9.0,9.4,24.3,6.6,2.6,4.8,00110
49,94.0,XX.0,XXX,XX,02,  Ulipur Upazila,45933,9.4,11.5,11.1,7.3,7.9,8.8,26.4,7.6,3.4,6.6,00110
49,94.0,XX.0,XXX,XX,02,Ulipur  Paurashava,45933,9.4,11.5,11.1,7.3,7.9,8.8,26.4,7.6,3.4,6.6,00110
32,XX.0,XX.0,XXX,XX,02, Gaibandha Zila,123416,9.0,10.7,11.1,8.9,9.4,9.7,27.3,7.0,2.7,4.2,00110
32,24.0,XX.0,XXX,XX,02,  Gaibandha Sadar Upazila,67833,8.6,10.2,11.4,9.9,10.2,9.3,26.8,7.0,2.6,4.0,00110
32,24.0,XX.0,XXX,XX,02,Gaibandha  Paurashava,67833,8.6,10.2,11.4,9.9,10.2,9.3,26.8,7.0,2.6,4.0,00110
32,30.0,XX.0,XXX,XX,02,  Gobindaganj Upazila,38415,9.6,11.5,10.3,7.6,8.4,10.3,28.1,7.1,2.7,4.5,00110
32,30.0,XX.0,XXX,XX,02,Gobindaganj  Paurashava,38415,9.6,11.5,10.3,7.6,8.4,10.3,28.1,7.1,2.7,4.5,00110
32,91.0,XX.0,XXX,XX,02,  Sundarganj Upazila,17168,9.3,11.4,11.4,8.2,8.4,9.9,27.5,6.8,2.9,4.3,00110
32,91.0,XX.0,XXX,XX,02,Sundarganj Paurashava,17168,9.3,11.4,11.4,8.2,8.4,9.9,27.5,6.8,2.9,4.3,00110
73,XX.0,XX.0,XXX,XX,02, Nilphamari Zila,235728,9.1,11.4,12.1,11.1,9.6,9.1,25.2,6.3,2.4,3.7,00110
73,15.0,XX.0,XXX,XX,02,  Domar Upazila,17027,9.7,12.0,11.2,8.7,8.9,9.2,26.9,6.4,2.6,4.4,00110
73,15.0,XX.0,XXX,XX,02,Domar  Paurashava,17027,9.7,12.0,11.2,8.7,8.9,9.2,26.9,6.4,2.6,4.4,00110
73,36.0,XX.0,XXX,XX,02,  Jaldhaka Upazila,46211,11.7,13.3,11.8,9.7,8.5,9.0,24.1,5.9,2.3,3.6,00110
73,36.0,XX.0,XXX,XX,02,Jaldhaka Paurashava,46211,11.7,13.3,11.8,9.7,8.5,9.0,24.1,5.9,2.3,3.6,00110
73,64.0,XX.0,XXX,XX,02,  Nilphamari Sadar Upazila,45386,8.4,10.9,11.5,11.0,10.1,9.5,25.8,6.4,2.4,3.9,00110
73,64.0,XX.0,XXX,XX,02,Nilphamari  Paurashava,45386,8.4,10.9,11.5,11.0,10.1,9.5,25.8,6.4,2.4,3.9,00110
73,85.0,XX.0,XXX,XX,02,  Saidpur Upazila,127104,8.3,10.7,12.5,12.0,9.9,9.0,25.1,6.4,2.5,3.6,00110
73,85.0,XX.0,XXX,XX,02,Saidpur  Paurashava,127104,8.3,10.7,12.5,12.0,9.9,9.0,25.1,6.4,2.5,3.6,00110
94,XX.0,XX.0,XXX,XX,02, Thakurgaon Zila,126051,8.9,10.6,11.6,10.6,9.7,9.5,27.1,6.2,2.2,3.5,00110
