ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
79,14,XX,XXX,XX,XX,Bhandaria Upazila Total,34338,34175,36,127,148159,72308,75851.0,95.0,01111
79,47,XX,XXX,XX,XX,Kawkhali Upazila Total,16208,16152,7,49,70130,34893,35237.0,99.0,01111
79,58,XX,XXX,XX,XX,Mathbaria Upazila Total,61187,60895,16,276,262841,128845,133996.0,96.0,01111
79,76,XX,XXX,XX,XX,Nazirpur Upazila Total,40561,40509,17,35,180408,89711,90697.0,99.0,01111
79,80,XX,XXX,XX,XX,Pirojpur Sadar Upazila Total,38017,37817,51,149,163470,80704,82766.0,98.0,01111
79,87,XX,XXX,XX,XX,Nesarabad Upazila Total,48492,48364,20,108,211032,103820,107212.0,97.0,01111
79,90,XX,XXX,XX,XX,Zianagar Upazila Total,17199,17147,16,36,77217,37947,39270.0,97.0,01111
9,18,XX,XXX,XX,XX,Bhola Sadar Upazila Total,88068,87706,53,309,430520,214212,216308.0,99.0,01111
9,21,XX,XXX,XX,XX,Burhanuddin Upazila Total,48534,48380,17,137,233860,115033,118827.0,97.0,01111
9,25,XX,XXX,XX,XX,Char Fasson Upazila Total,94649,94484,21,144,456437,228693,227744.0,100.0,01111
9,29,XX,XXX,XX,XX,Daulat Khan Upazila Total,34670,34610,9,51,168567,83369,85198.0,98.0,01111
9,54,XX,XXX,XX,XX,Lalmohan Upazila Total,60988,60917,14,57,283889,138877,145012.0,96.0,01111
9,65,XX,XXX,XX,XX,Manpura Upazila Total,17080,17016,5,59,76582,38746,37836.0,102.0,01111
9,91,XX,XXX,XX,XX,Tazumuddin Upazila Total,28734,28686,13,35,126940,65139,61801.0,105.0,01111
4,09,XX,XXX,XX,XX,Amtali Upazila Total,63212,63066,26,120,270802,132168,138634.0,95.0,01111
4,19,XX,XXX,XX,XX,Bamna Upazila Total,19537,19511,9,17,79564,39438,40126.0,98.0,01111
4,28,XX,XXX,XX,XX,Barguna Sadar Upazila Total,62086,61665,66,355,261343,128580,132763.0,97.0,01111
4,47,XX,XXX,XX,XX,Betagi Upazila Total,27922,27809,20,93,117145,56683,60462.0,94.0,01111
4,85,XX,XXX,XX,XX,Patharghata Upazila Total,43085,42812,27,246,163927,80544,83383.0,97.0,01111
52,02,XX,XXX,XX,XX,Aditmari Upazila Total,52144,52113,13,18,224796,112243,112553.0,100.0,01111
52,33,XX,XXX,XX,XX,Hatibandha Upazila Total,53122,53037,33,52,233927,116856,117071.0,100.0,01111
52,39,XX,XXX,XX,XX,Kaligang Upazila Total,58138,58078,22,38,245595,122225,123370.0,99.0,01111
52,55,XX,XXX,XX,XX,Lalmonirhat Sadar Upazila Total,79147,78947,53,147,333166,166763,166403.0,100.0,01111
52,70,XX,XXX,XX,XX,Patgram Upazila Total,47893,47778,18,97,218615,110712,107903.0,103.0,01111
77,04,XX,XXX,XX,XX,Atwari Upazila Total,32045,31974,11,60,133650,66737,66913.0,100.0,01111
77,25,XX,XXX,XX,XX,Boda Upazila Total,56102,56021,14,67,232124,116555,115569.0,101.0,01111
77,34,XX,XXX,XX,XX,Debiganj Upazila Total,52411,52314,17,80,224709,113120,111589.0,101.0,01111
77,73,XX,XXX,XX,XX,Panchagarh Sadar Upazila Total,60115,59921,34,160,271707,136850,134857.0,101.0,01111
77,90,XX,XXX,XX,XX,Tentulia Upazila Total,27908,27844,20,44,125454,63463,61991.0,102.0,01111
85,03,XX,XXX,XX,XX,Badarganj Upazila Total,71982,71805,26,151,287746,144254,143492.0,101.0,01111
85,27,XX,XXX,XX,XX,Gangachara Upazila Total,73463,73401,18,44,297869,150300,147569.0,102.0,01111
85,42,XX,XXX,XX,XX,Kaunia Upazila Total,56263,56193,9,61,227805,112701,115104.0,98.0,01111
85,49,XX,XXX,XX,XX,Rangpur Sadar Upazila Total,165017,163052,225,1740,718203,366788,351415.0,104.0,01111
85,58,XX,XXX,XX,XX,Mithapukur Upazila Total,135073,134898,27,148,508133,252326,255807.0,99.0,01111
85,73,XX,XXX,XX,XX,Pirgachha Upazila Total,82623,82487,30,106,313319,153524,159795.0,96.0,01111
85,76,XX,XXX,XX,XX,Pirganj Upazila Total,101640,101485,37,118,385499,192025,193474.0,99.0,01111
85,92,XX,XXX,XX,XX,Taraganj Upazila Total,34119,34041,17,61,142512,71898,70614.0,102.0,01111
49,06,XX,XXX,XX,XX,Bhurungamari Upazila Total,57005,56923,14,68,231538,113502,118036.0,96.0,01111
49,08,XX,XXX,XX,XX,Char Rajibpur Upazila Total,17310,17284,3,23,73373,35372,38001.0,93.0,01111
49,09,XX,XXX,XX,XX,Chilmari Upazila Total,30966,30939,4,23,122841,59414,63427.0,94.0,01111
49,18,XX,XXX,XX,XX,Phulbari Sadar Upazila Total,39643,39575,13,55,160250,78568,81682.0,96.0,01111
49,52,XX,XXX,XX,XX,Kurigram Sadar Upazila Total,72592,72149,49,394,312408,154500,157908.0,98.0,01111
49,61,XX,XXX,XX,XX,Nageshwari Upazila Total,94108,94000,42,66,394258,193444,200814.0,96.0,01111
49,77,XX,XXX,XX,XX,Rajarhat Upazila Total,46489,46453,4,32,182981,88818,94163.0,94.0,01111
49,79,XX,XXX,XX,XX,Raumari Upazila Total,46871,46812,10,49,196417,95783,100634.0,95.0,01111
49,94,XX,XXX,XX,XX,Ulipur Upazila Total,103061,102971,17,73,395207,191041,204166.0,94.0,01111
32,21,XX,XXX,XX,XX,Fulchhari Upazila Total,40489,40454,7,28,165334,82523,82811.0,100.0,01111
32,24,XX,XXX,XX,XX,Gaibandha Sadar Upazila Total,109628,109224,49,355,437268,213811,223457.0,96.0,01111
32,30,XX,XXX,XX,XX,Gobindaganj Upazila Total,132572,132402,31,139,514696,255639,259057.0,99.0,01111
32,67,XX,XXX,XX,XX,Palashbari Upazila Total,63307,63178,4,125,244792,120007,124785.0,96.0,01111
32,82,XX,XXX,XX,XX,Sadullapur Upazila Total,75235,75176,13,46,287426,140423,147003.0,96.0,01111
32,88,XX,XXX,XX,XX,Saghata Upazila Total,68954,68886,6,62,267819,130606,137213.0,95.0,01111
32,91,XX,XXX,XX,XX,Sundarganj Upazila Total,122098,121977,32,89,461920,226118,235802.0,96.0,01111
73,12,XX,XXX,XX,XX,Dimla Upazila Total,63535,63460,18,57,283438,142412,141026.0,101.0,01111
73,15,XX,XXX,XX,XX,Domar Upazila Total,58020,57919,27,74,249429,125338,124091.0,101.0,01111
73,36,XX,XXX,XX,XX,Jaldhaka Upazila Total,78994,78906,13,75,340672,171466,169206.0,101.0,01111
73,45,XX,XXX,XX,XX,Kishoreganj Upazila Total,65798,65741,18,39,261069,130931,130138.0,101.0,01111
73,64,XX,XXX,XX,XX,Nilphamari Sadar Upazila Total,97088,96915,52,121,435162,219080,216082.0,101.0,01111
73,85,XX,XXX,XX,XX,Saidpur Upazila Total,58137,57965,89,83,264461,133737,130724.0,102.0,01111
94,08,XX,XXX,XX,XX,Baliadangi Upazila Total,45509,45445,11,53,195049,98769,96280.0,103.0,01111
