ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 3-5 years-Attending school-Male,Population aged 3-5 years-Attending school-Female,Population aged 3-5 years-Not attending school-Male,Population aged 3-5 years-Not attending school-Female,Population aged 6-10 years-Attending school-Male,Population aged 6-10 years-Attending school-Female,Population aged 6-10 years-Not attending school-Male,Population aged 6-10 years-Not attending school-Female,Population aged 11-14 years-Attending school-Male,Population aged 11-14 years-Attending school-Female,Population aged 11-14 years-Not attending school-Male,Population aged 11-14 years-Not attending school-Female,check_var
27,69,17,XXX,XX,01,  Binodnagar Union,85,70,916,958,1501,1351,379,310,1017,1006,175,68,00110
27,69,43,XXX,XX,01,  Golapganj Union,111,126,1086,998,1479,1378,407,357,933,967,232,123,00110
27,77,86,XXX,XX,01,  Rampur Union,85,96,784,762,1301,1335,345,269,938,988,234,97,00110
10,06,13,XXX,XX,01,  Adam Dighi Union,33,51,616,602,959,878,305,226,630,693,184,95,00110
10,27,38,XXX,XX,01,  Dhunat Union,67,85,608,549,888,951,275,226,572,565,107,82,00110
10,88,28,XXX,XX,01,  Garidaha Union,152,137,1092,1086,1727,1549,526,449,1223,1283,320,167,00110
10,88,57,XXX,XX,01,  Kusumbi Union,119,110,931,869,1356,1368,532,455,976,969,295,172,00110
10,88,77,XXX,XX,01,  Shah-Bandegi Union,38,40,904,874,1202,1129,521,505,966,919,210,93,00110
88,27,27,XXX,XX,01,  Khas Kaulia Union,1,5,184,162,194,207,82,77,121,116,29,15,00110
88,27,47,XXX,XX,01,  Sadia Chandpur Union,112,124,891,883,1296,1213,455,425,719,707,272,164,00110
88,44,38,XXX,XX,01,  Jamtail Union,111,98,1091,1066,1703,1557,479,413,1258,1155,172,98,00110
88,50,25,XXX,XX,01,  Gandail Union,152,146,866,873,1471,1389,384,377,1005,883,117,96,00110
88,50,77,XXX,XX,01,  Sonamukhi Union,78,99,1175,1127,1557,1425,769,663,981,1001,250,155,00110
88,61,38,XXX,XX,01,  Dhangara Union,20,10,1088,1098,1499,1432,411,343,800,739,215,126,00110
88,67,14,XXX,XX,01,  Gala Union,28,48,1285,1286,1295,1140,827,846,794,571,331,279,00110
88,78,16,XXX,XX,01,  Baghbati Union,108,119,1677,1656,2330,2269,860,732,1488,1524,405,243,00110
88,89,84,XXX,XX,01,  Tarash Union,72,67,671,631,890,857,356,301,580,507,188,138,00110
81,12,50,XXX,XX,01,  Ganipur Union,129,131,817,755,1518,1427,361,262,1237,1046,206,91,00110
81,31,11,XXX,XX,01,  Deluabari Union,74,71,622,577,999,937,279,231,823,889,144,53,00110
81,34,57,XXX,XX,01,  Matikata Union,68,63,1408,1403,2056,1930,600,539,1535,1739,486,138,00110
81,53,13,XXX,XX,01,  Bakshimail Union,35,24,447,413,704,644,189,186,590,586,99,49,00110
81,53,81,XXX,XX,01,  Royghati Union,21,17,299,323,463,482,161,148,390,347,97,60,00110
81,82,13,XXX,XX,01,  Baneshwar Union,90,77,761,723,1484,1389,297,259,1055,1101,200,73,00110
