ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
49,18,XX,XXX,XX,01,  Phulbari Sadar Upazila,36448,36411,11,26,147355,72149,75206.0,96.0,01110
49,52,XX,XXX,XX,01,  Kurigram Sadar Upazila,54577,54521,15,41,231598,113342,118256.0,96.0,01110
49,61,XX,XXX,XX,01,  Nageshwari Upazila,78810,78766,10,34,331969,162423,169546.0,96.0,01110
49,77,XX,XXX,XX,01,  Rajarhat Upazila,44240,44212,4,24,173689,84223,89466.0,94.0,01110
49,79,XX,XXX,XX,01,  Raumari Upazila,40793,40759,3,31,170737,83150,87587.0,95.0,01110
49,94,XX,XXX,XX,01,  Ulipur Upazila,91535,91487,10,38,349274,168638,180636.0,93.0,01110
32,21,XX,XXX,XX,01,  Fulchhari Upazila,38849,38816,6,27,158933,79289,79644.0,100.0,01110
32,24,XX,XXX,XX,01,  Gaibandha Sadar Upazila,88033,87961,7,65,343179,166688,176491.0,94.0,01110
32,30,XX,XXX,XX,01,  Gobindaganj Upazila,122854,122760,23,71,476281,236277,240004.0,98.0,01110
32,67,XX,XXX,XX,01,  Palashbari Upazila,57785,57703,2,80,222133,108765,113368.0,96.0,01110
32,82,XX,XXX,XX,01,  Sadullapur Upazila,72103,72054,9,40,275135,134396,140739.0,95.0,01110
32,88,XX,XXX,XX,01,  Saghata Upazila,65037,64999,5,33,251936,122736,129200.0,95.0,01110
32,91,XX,XXX,XX,01,  Sundarganj Upazila,116940,116831,26,83,441134,215772,225362.0,96.0,01110
73,12,XX,XXX,XX,01,  Dimla Upazila,59102,59055,15,32,263719,132377,131342.0,101.0,01110
73,15,XX,XXX,XX,01,  Domar Upazila,48789,48719,22,48,209256,105276,103980.0,101.0,01110
73,36,XX,XXX,XX,01,  Jaldhaka Upazila,68787,68747,8,32,294461,147973,146488.0,101.0,01110
73,45,XX,XXX,XX,01,  Kishoreganj Upazila,63456,63411,15,30,252625,126688,125937.0,101.0,01110
73,64,XX,XXX,XX,01,  Nilphamari Sadar Upazila,87640,87580,33,27,389776,195794,193982.0,101.0,01110
73,85,XX,XXX,XX,01,  Saidpur Upazila,31151,31135,6,10,134420,67193,67227.0,100.0,01110
94,08,XX,XXX,XX,01,  Baliadangi Upazila,41757,41729,8,20,179703,90820,88883.0,102.0,01110
94,51,XX,XXX,XX,01,  Haripur Upazila,30930,30913,7,10,140659,70524,70135.0,101.0,01110
94,82,XX,XXX,XX,01,  Pirganj Upazila,51758,51720,20,18,215835,108450,107385.0,101.0,01110
94,86,XX,XXX,XX,01,  Ranisankail Upazila,47175,47138,13,24,204522,103083,101439.0,102.0,01110
94,94,XX,XXX,XX,01,  Thakurgaon Sadar Upazila,112389,112221,27,141,488014,246045,241969.0,102.0,01110
27,10,XX,XXX,XX,01,  Birampur Upazila,30777,30716,19,42,123267,62286,60981.0,102.0,01110
