ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Population,Type of disability (%)-All,Type of disability (%)-Speech,Type of disability (%)-Vision,Type of disability (%)-Hearing,Type of disability (%)-Physical,Type of disability (%)-Mental,Type of disability (%)-Autism,check_var
49.0,94.0,XX.0,XXX,XX,02,Ulipur  Paurashava,45933,1.1,0.1,0.2,0.1,0.5,0.2,0.0,00110
32.0,XX.0,XX.0,XXX,XX,02, Gaibandha Zila,123416,1.6,0.2,0.4,0.1,0.6,0.2,0.1,00110
32.0,24.0,XX.0,XXX,XX,02,  Gaibandha Sadar Upazila,67833,1.6,0.2,0.3,0.1,0.6,0.2,0.1,00110
32.0,24.0,XX.0,XXX,XX,02,Gaibandha  Paurashava,67833,1.6,0.2,0.3,0.1,0.6,0.2,0.1,00110
32.0,30.0,XX.0,XXX,XX,02,  Gobindaganj Upazila,38415,1.8,0.2,0.6,0.2,0.6,0.2,0.0,00110
32.0,30.0,XX.0,XXX,XX,02,Gobindaganj  Paurashava,38415,1.8,0.2,0.6,0.2,0.6,0.2,0.0,00110
32.0,91.0,XX.0,XXX,XX,02,  Sundarganj Upazila,17168,1.1,0.1,0.2,0.1,0.4,0.1,0.1,00110
32.0,91.0,XX.0,XXX,XX,02,Sundarganj Paurashava,17168,1.1,0.1,0.2,0.1,0.4,0.1,0.1,00110
73.0,XX.0,XX.0,XXX,XX,02, Nilphamari Zila,235728,1.1,0.2,0.2,0.1,0.5,0.2,0.1,00110
73.0,15.0,XX.0,XXX,XX,02,  Domar Upazila,17027,1.5,0.2,0.2,0.1,0.7,0.2,0.1,00110
73.0,15.0,XX.0,XXX,XX,02,Domar  Paurashava,17027,1.5,0.2,0.2,0.1,0.7,0.2,0.1,00110
73.0,36.0,XX.0,XXX,XX,02,  Jaldhaka Upazila,46211,0.8,0.2,0.1,0.1,0.2,0.2,0.1,00110
73.0,36.0,XX.0,XXX,XX,02,Jaldhaka Paurashava,46211,0.8,0.2,0.1,0.1,0.2,0.2,0.1,00110
73.0,64.0,XX.0,XXX,XX,02,  Nilphamari Sadar Upazila,45386,1.1,0.1,0.1,0.1,0.5,0.2,0.1,00110
73.0,64.0,XX.0,XXX,XX,02,Nilphamari  Paurashava,45386,1.1,0.1,0.1,0.1,0.5,0.2,0.1,00110
73.0,85.0,XX.0,XXX,XX,02,  Saidpur Upazila,127104,1.2,0.2,0.2,0.1,0.5,0.2,0.0,00110
73.0,85.0,XX.0,XXX,XX,02,Saidpur  Paurashava,127104,1.2,0.2,0.2,0.1,0.5,0.2,0.0,00110
94.0,XX.0,XX.0,XXX,XX,02, Thakurgaon Zila,126051,1.0,0.1,0.1,0.1,0.4,0.2,0.1,00110
94.0,82.0,XX.0,XXX,XX,02,  Pirganj Upazila,27700,1.0,0.2,0.2,0.1,0.3,0.2,0.0,00110
94.0,86.0,XX.0,XXX,XX,02,  Ranisankail Upazila,17762,1.2,0.2,0.1,0.1,0.6,0.2,0.0,00110
94.0,94.0,XX.0,XXX,XX,02,  Thakurgaon Sadar Upazila,80589,1.0,0.1,0.1,0.1,0.4,0.2,0.1,00110
27.0,XX.0,XX.0,XXX,XX,02, Dinajpur Zila,393920,1.4,0.1,0.3,0.1,0.6,0.2,0.1,00110
27.0,10.0,XX.0,XXX,XX,02,  Birampur Upazila,45334,1.1,0.1,0.2,0.1,0.4,0.2,0.0,00110
27.0,10.0,XX.0,XXX,XX,02,  Birampur Paurashava,45334,1.1,0.1,0.2,0.1,0.4,0.2,0.0,00110
27.0,12.0,XX.0,XXX,XX,02,  Birganj Upazila,19467,2.1,0.4,0.6,0.2,0.7,0.3,0.1,00110
27.0,12.0,XX.0,XXX,XX,02,  Birganj  Paurashava,19467,2.1,0.4,0.6,0.2,0.7,0.3,0.1,00110
27.0,21.0,XX.0,XXX,XX,02,  Bochaganj Upazila,27335,1.3,0.2,0.2,0.1,0.5,0.3,0.1,00110
27.0,38.0,XX.0,XXX,XX,02,  Fulbari Upazila,34786,2.0,0.2,0.6,0.1,0.7,0.3,0.2,00110
27.0,43.0,XX.0,XXX,XX,02,  Ghoraghat Upazila,22717,1.5,0.2,0.2,0.1,0.8,0.2,0.1,00110
27.0,47.0,XX.0,XXX,XX,02,  Hakimpur Upazila,28411,1.0,0.2,0.1,0.1,0.4,0.2,0.1,00110
27.0,64.0,XX.0,XXX,XX,02,  Dinajpur Sadar Upazila,186727,1.3,0.1,0.3,0.1,0.5,0.2,0.0,00110
27.0,77.0,XX.0,XXX,XX,02,  Parbatipur Upazila,29143,1.4,0.1,0.3,0.1,0.6,0.3,0.0,00110
10.0,XX.0,XX.0,XXX,XX,02, Bogra Zila,624082,1.4,0.1,0.3,0.1,0.5,0.2,0.1,00110
10.0,6.0,XX.0,XXX,XX,02,  Adamdighi Upazila,31037,3.8,0.2,0.7,0.1,2.3,0.3,0.1,00110
10.0,6.0,XX.0,XXX,XX,02,  Adamdighi Paurashava,31037,3.8,0.2,0.7,0.1,2.3,0.3,0.1,00110
10.0,20.0,XX.0,XXX,XX,02,  Bogra Sadar Upazila,350397,1.2,0.1,0.3,0.1,0.4,0.2,0.1,00110
10.0,20.0,XX.0,XXX,XX,02,Bogra  Paurashava,350397,1.2,0.1,0.3,0.1,0.4,0.2,0.1,00110
10.0,27.0,XX.0,XXX,XX,02,  Dhunat Upazila,14206,1.7,0.2,0.3,0.2,0.6,0.4,0.0,00110
10.0,27.0,XX.0,XXX,XX,02,Dhunat Paurashava,14206,1.7,0.2,0.3,0.2,0.6,0.4,0.0,00110
10.0,33.0,XX.0,XXX,XX,02,  Dhupchanchia Upazila,22406,1.3,0.1,0.4,0.1,0.5,0.2,0.0,00110
10.0,33.0,XX.0,XXX,XX,02,Dhupchanchia  Paurashava,22406,1.3,0.1,0.4,0.1,0.5,0.2,0.0,00110
10.0,40.0,XX.0,XXX,XX,02,  Gabtali Upazila,21455,1.2,0.1,0.1,0.1,0.6,0.3,0.0,00110
10.0,40.0,XX.0,XXX,XX,02,Gabtali Paurashava,21455,1.2,0.1,0.1,0.1,0.6,0.3,0.0,00110
10.0,54.0,XX.0,XXX,XX,02,  Kahaloo Upazila,13887,1.1,0.2,0.2,0.1,0.5,0.1,0.0,00110
10.0,54.0,XX.0,XXX,XX,02,Kahaloo Paurashava,13887,1.1,0.2,0.2,0.1,0.5,0.1,0.0,00110
10.0,67.0,XX.0,XXX,XX,02,  Nandigram Upazila,18496,1.3,0.2,0.3,0.1,0.5,0.2,0.0,00110
10.0,67.0,XX.0,XXX,XX,02,Nandigram Paurashava,18496,1.3,0.2,0.3,0.1,0.5,0.2,0.0,00110
10.0,81.0,XX.0,XXX,XX,02,  Sariakandi Upazila,18543,1.3,0.1,0.2,0.1,0.5,0.2,0.1,00110
10.0,81.0,XX.0,XXX,XX,02,Sariakandi  Paurashava,18543,1.3,0.1,0.2,0.1,0.5,0.2,0.1,00110
10.0,85.0,XX.0,XXX,XX,02,  Shajahanpur Upazila,62140,0.7,0.1,0.1,0.0,0.3,0.1,0.1,00110
10.0,88.0,XX.0,XXX,XX,02,  Sherpur Upazila,25152,1.7,0.1,0.3,0.2,0.7,0.3,0.1,00110
10.0,88.0,XX.0,XXX,XX,02,Sherpur  Paurashava,25152,1.7,0.1,0.3,0.2,0.7,0.3,0.1,00110
10.0,94.0,XX.0,XXX,XX,02,  Shibganj Upazila,21643,1.5,0.2,0.4,0.2,0.5,0.2,0.1,00110
10.0,94.0,XX.0,XXX,XX,02,Shibganj Paurashava,21643,1.5,0.2,0.4,0.2,0.5,0.2,0.1,00110
10.0,95.0,XX.0,XXX,XX,02,  Sonatola Upazila,24720,1.6,0.1,0.4,0.1,0.6,0.2,0.0,00110
10.0,95.0,XX.0,XXX,XX,02,Sonatola Paurashava,24720,1.6,0.1,0.4,0.1,0.6,0.2,0.0,00110
88.0,XX.0,XX.0,XXX,XX,02, Sirajganj Zila,376432,1.4,0.1,0.3,0.1,0.5,0.2,0.1,00110
88.0,11.0,XX.0,XXX,XX,02,  Belkuchi Upazila,75364,1.1,0.1,0.2,0.1,0.4,0.1,0.1,00110
88.0,11.0,XX.0,XXX,XX,02,Belkuchi Paurashava,75364,1.1,0.1,0.2,0.1,0.4,0.1,0.1,00110
88.0,50.0,XX.0,XXX,XX,02,  Kazipur Upazila,12637,3.1,0.2,0.8,0.5,1.3,0.3,0.1,00110
88.0,50.0,XX.0,XXX,XX,02,Kazipur  Paurashava,12637,3.1,0.2,0.8,0.5,1.3,0.3,0.1,00110
88.0,61.0,XX.0,XXX,XX,02,  Royganj Upazila,17318,2.5,0.3,1.0,0.2,0.7,0.2,0.1,00110
88.0,61.0,XX.0,XXX,XX,02,Royganj Paurashava,17318,2.5,0.3,1.0,0.2,0.7,0.2,0.1,00110
88.0,67.0,XX.0,XXX,XX,02,  Shahjadpur Upazila,64507,1.0,0.1,0.2,0.1,0.4,0.2,0.1,00110
88.0,67.0,XX.0,XXX,XX,02,Shahjadpur  Paurashava,64507,1.0,0.1,0.2,0.1,0.4,0.2,0.1,00110
88.0,78.0,XX.0,XXX,XX,02,  Sirajganj Sadar Upazila,158913,1.5,0.1,0.3,0.1,0.7,0.2,0.1,00110
88.0,78.0,XX.0,XXX,XX,02,Sirajganj  Paurashava,158913,1.5,0.1,0.3,0.1,0.7,0.2,0.1,00110
88.0,94.0,XX.0,XXX,XX,02,  Ullah Para Upazila,47693,0.9,0.2,0.1,0.1,0.3,0.1,0.1,00110
88.0,94.0,XX.0,XXX,XX,02,Ullah Para  Paurashava,47693,0.9,0.2,0.1,0.1,0.3,0.1,0.1,00110
81.0,XX.0,XX.0,XXX,XX,02, Rajshahi Zila,830649,1.3,0.2,0.2,0.1,0.6,0.2,0.1,00110
81.0,10.0,XX.0,XXX,XX,02,  Bagha Upazila,44173,1.8,0.2,0.3,0.1,0.9,0.2,0.0,00110
81.0,12.0,XX.0,XXX,XX,02,  Baghmara Upazila,35899,1.4,0.1,0.3,0.2,0.5,0.2,0.1,00110
81.0,22.0,XX.0,XXX,XX,02,  Boalia Thana,221163,1.2,0.1,0.2,0.1,0.5,0.2,0.1,00110
81.0,25.0,XX.0,XXX,XX,02,  Charghat Upazila,38409,1.2,0.1,0.2,0.1,0.4,0.2,0.1,00110
81.0,25.0,XX.0,XXX,XX,02,  Charghat Upazila,38409,1.2,0.1,0.2,0.1,0.4,0.2,0.1,00110
81.0,25.0,XX.0,XXX,XX,02,Charghat  Paurashava,38409,1.2,0.1,0.2,0.1,0.4,0.2,0.1,00110
81.0,31.0,XX.0,XXX,XX,02,  Durgapur Upazila,26671,1.9,0.2,0.4,0.2,0.8,0.2,0.1,00110
81.0,31.0,XX.0,XXX,XX,02,Durgapur  Paurashava,26671,1.9,0.2,0.4,0.2,0.8,0.2,0.1,00110
81.0,34.0,XX.0,XXX,XX,02,  Godagari Upazila,56335,1.7,0.2,0.3,0.1,0.7,0.3,0.1,00110
81.0,40.0,XX.0,XXX,XX,02,  Matihar Thana,62172,1.2,0.2,0.2,0.1,0.6,0.2,0.1,00110
