ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Male,% Male-Never married,% Male-Married,% Male-Widowed,% Male-Divorced/Separated,Total Female,% Female-Never married,% Female-Married,% Female-Widowed,% Female-Divorced/Separated,check_var
78.0,95.0,XX.0,XXX,XX,03,  Patuakhali Sadar Upazila,1814,32.1,67.4,0.6,0.0,1963,22.3,72.1,5.3,0.3,00110
78.0,95.0,27.0,XXX,XX,03,  Jainkati Union,1814,32.1,67.4,0.6,0.0,1963,22.3,72.1,5.3,0.3,00110
6.0,XX.0,XX.0,XXX,XX,03, Barisal Zila,27616,40.4,58.6,1.0,0.1,29091,27.0,63.8,8.7,0.5,00110
6.0,2.0,XX.0,XXX,XX,03,  Agailjhara Upazila,4244,41.6,57.2,1.2,0.0,4368,25.9,63.6,10.1,0.4,00110
6.0,2.0,15.0,XXX,XX,03,  Bakal Union,1395,44.4,54.8,0.9,0.0,1326,25.9,67.5,6.3,0.3,00110
6.0,2.0,47.0,XXX,XX,03,  Gaila Union,2849,40.2,58.4,1.4,0.0,3042,25.9,61.9,11.7,0.4,00110
6.0,3.0,XX.0,XXX,XX,03,  Babuganj Upazila,3873,42.3,56.6,1.0,0.1,3985,27.6,62.4,9.3,0.7,00110
6.0,3.0,81.0,XXX,XX,03,  Rahmatpur Union,3873,42.3,56.6,1.0,0.1,3985,27.6,62.4,9.3,0.7,00110
6.0,7.0,XX.0,XXX,XX,03,  Bakerganj Upazila,1593,36.8,62.1,0.9,0.1,1640,23.2,66.6,9.6,0.6,00110
6.0,7.0,12.0,XXX,XX,03,  Bhar Pasha Union,1330,36.2,62.6,1.1,0.2,1371,23.9,64.0,11.5,0.7,00110
6.0,7.0,94.0,XXX,XX,03,  Rangasree Union,263,39.9,60.1,0.0,0.0,269,20.1,79.9,0.0,0.0,00110
6.0,10.0,XX.0,XXX,XX,03,  Banari Para Upazila,2403,39.9,59.1,1.0,0.1,2714,26.1,65.3,8.3,0.3,00110
6.0,10.0,42.0,XXX,XX,03,  Chakhar Union,1187,40.4,59.3,0.3,0.0,1285,25.3,68.4,5.7,0.6,00110
6.0,10.0,63.0,XXX,XX,03,  Salia Bakpur Union,1216,39.5,58.8,1.6,0.2,1429,26.8,62.6,10.6,0.1,00110
6.0,36.0,XX.0,XXX,XX,03,  Hizla Upazila,5210,42.1,57.1,0.8,0.0,5495,28.9,62.8,7.5,0.8,00110
6.0,36.0,13.0,XXX,XX,03,  Bara Jalia Union,5210,42.1,57.1,0.8,0.0,5495,28.9,62.8,7.5,0.8,00110
6.0,51.0,XX.0,XXX,XX,03,  Barisal Sadar Upazila,4375,38.8,60.5,0.7,0.0,4429,27.5,65.0,7.2,0.3,00110
6.0,51.0,34.0,XXX,XX,03,  Char Baria Union,1450,38.8,60.4,0.8,0.1,1458,26.8,62.6,10.4,0.2,00110
6.0,51.0,43.0,XXX,XX,03,  Char Kowa Union,2925,38.8,60.5,0.6,0.0,2971,27.8,66.1,5.7,0.4,00110
6.0,62.0,XX.0,XXX,XX,03,  Mehendiganj Upazila,1300,40.8,57.2,1.8,0.2,1552,28.4,60.6,10.4,0.5,00110
6.0,62.0,87.0,XXX,XX,03,  Mehendiganj Union,1300,40.8,57.2,1.8,0.2,1552,28.4,60.6,10.4,0.5,00110
6.0,94.0,XX.0,XXX,XX,03,  Wazirpur Upazila,4618,38.7,60.2,1.0,0.2,4908,26.5,64.4,8.9,0.2,00110
6.0,94.0,31.0,XXX,XX,03,  Guthia Union,928,37.2,60.9,1.8,0.1,944,27.2,68.2,4.1,0.4,00110
6.0,94.0,84.0,XXX,XX,03,  Shikarpur Union,3690,39.0,60.0,0.8,0.2,3964,26.3,63.5,10.0,0.2,00110
79.0,XX.0,XX.0,XXX,XX,03, Pirojpur Zila,33014,38.5,60.6,0.8,0.1,33979,24.9,65.9,8.6,0.6,00110
79.0,14.0,XX.0,XXX,XX,03,  Bhandaria Upazila,9895,38.5,60.4,1.0,0.1,10014,24.4,66.2,9.0,0.4,00110
79.0,14.0,11.0,XXX,XX,03,  Bhandaria Union,8037,38.8,60.4,0.8,0.1,8162,24.6,66.8,8.2,0.4,00110
79.0,14.0,71.0,XXX,XX,03,  Nudmulla Union,1858,37.4,60.8,1.9,0.0,1852,23.3,63.5,12.6,0.6,00110
79.0,47.0,XX.0,XXX,XX,03,  Kawkhali Upazila,3893,37.6,61.4,0.9,0.1,4040,25.7,64.3,9.1,1.0,00110
79.0,47.0,15.0,XXX,XX,03,  Amrajuri Union,1260,37.4,61.0,1.3,0.3,1196,24.0,63.4,11.6,1.0,00110
79.0,47.0,47.0,XXX,XX,03,  Kawkhali Union,2633,37.7,61.6,0.7,0.0,2844,26.4,64.6,8.0,0.9,00110
79.0,58.0,XX.0,XXX,XX,03,  Mathbaria Upazila,4066,36.4,62.4,1.0,0.2,4145,19.2,72.8,7.4,0.7,00110
79.0,58.0,60.0,XXX,XX,03,  Mathbaria Union,4066,36.4,62.4,1.0,0.2,4145,19.2,72.8,7.4,0.7,00110
79.0,76.0,XX.0,XXX,XX,03,  Nazirpur Upazila,1956,40.1,58.7,0.9,0.4,1804,26.4,62.1,10.6,0.9,00110
79.0,76.0,52.0,XXX,XX,03,  Nazirpur Union,1956,40.1,58.7,0.9,0.4,1804,26.4,62.1,10.6,0.9,00110
