ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,"Population aged 7+, not attending school and employed-Both","Population aged 7+, not attending school and employed-Male","Population aged 7+, not attending school and employed-Female",Field of Activity-Agriculture-Male,Field of Activity-Agriculture-Female,Field of Activity-Industry-Male,Field of Activity-Industry-Female,Field of Activity-Service-Male,Field of Activity-Service-Female,check_var
47,53,55,667,01,01,  1 No. Koyra,243,223,20,169,16,17,2,37,2,00000
47,53,55,667,02,01,  2 No. Koyra,493,461,32,447,30,1,0,13,2,00000
47,53,55,667,03,01,  3 No. Koyra,97,96,1,90,1,1,0,5,0,00000
47,53,55,667,04,01,  4 No. Koyra,572,519,53,486,39,4,1,29,13,00000
47,53,55,667,05,01,  5 No. Koyra,356,333,23,325,9,1,10,7,4,00000
47,53,55,667,06,01,  6 No. Koyra,138,131,7,126,4,0,2,5,1,00000
47,53,55,722,01,03,  Dhakin Madinabad,252,224,28,166,13,2,0,56,15,00000
47,53,55,722,02,03,  Uttar Madinabad,288,262,26,201,10,20,1,41,15,00000
47,53,55,722,03,03,  Gobra,282,255,27,237,25,5,1,13,1,00000
47,53,55,722,04,03,  Ghatakhali,35,33,2,33,2,0,0,0,0,00000
47,53,55,722,05,03,  Harin Khola,80,73,7,63,7,0,0,10,0,00000
47,53,72,327,01,01,  Dakshin Deara,234,208,26,159,10,8,2,41,14,00000
47,53,72,327,02,01,  Madarbaria,174,172,2,172,2,0,0,0,0,00000
47,53,72,327,04,01,  Kolukhali,47,44,3,42,3,0,0,2,0,00000
47,53,72,327,05,01,  Shyamkhali,29,29,0,28,0,0,0,1,0,00000
47,53,72,613,01,01,  Moraler Chak,32,22,10,13,8,0,0,9,2,00000
47,53,72,613,03,01,  Sutirkona,80,75,5,53,2,9,0,13,3,00000
47,53,72,613,04,01,  Sutirdhar,64,64,0,58,0,6,0,0,0,00000
47,53,72,613,05,01,  Marder Chak,88,74,14,61,9,0,0,13,5,00000
47,53,72,613,06,01,  Moterdanga,104,89,15,86,12,1,1,2,2,00000
47,53,72,613,07,01,  South Motbari,72,63,9,43,3,1,0,19,6,00000
47,53,72,613,08,01,  Purbo Matbari,112,102,10,102,9,0,0,0,1,00000
47,53,72,736,01,01,  Purba Maharajpur,306,283,23,202,1,5,3,76,19,00000
47,53,72,736,02,01,  Paschim Maharajpur,127,114,13,70,1,0,0,44,12,00000
47,53,78,749,01,01,  Maheswaripur,535,498,37,490,31,1,2,7,4,00000
47,53,78,749,02,01,  Amtali,56,55,1,55,1,0,0,0,0,00000
47,53,78,749,03,01,  Singher Chak,19,18,1,18,1,0,0,0,0,00000
47,53,78,749,04,01,  Gilabari,26,26,0,26,0,0,0,0,0,00000
47,53,78,967,01,01,  Babura Bade,98,95,3,87,3,0,0,8,0,00000
47,53,78,967,02,01,  Tentultalar Char,269,252,17,251,17,1,0,0,0,00000
47,53,94,994,01,01,  Seikh Sardar Para,177,159,18,143,17,0,1,16,0,00000
47,53,94,994,02,01,  Bedkashi,259,214,45,126,29,1,0,87,16,00000
47,53,94,994,03,01,  Katmar Char,312,254,58,201,45,5,1,48,12,00000
