ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
47,51.0,22.0,XXX,XX,XX,  Ward No-22 Total,17239,7.6,9.7,11.8,9.8,10.2,9.5,27.7,7.2,2.2,4.2,00111
47,51.0,23.0,XXX,XX,XX,  Ward No-23 Total,13793,5.7,8.0,9.7,9.3,9.8,9.4,32.1,8.2,2.9,5.1,00111
47,51.0,24.0,XXX,XX,XX,  Ward No-24 Total,37889,7.5,9.1,9.7,9.8,11.9,10.7,28.5,7.0,2.4,3.5,00111
47,51.0,27.0,XXX,XX,XX,  Ward No-27 Total,30265,7.2,8.5,10.0,10.3,11.5,10.9,28.3,7.0,2.4,4.0,00111
47,51.0,28.0,XXX,XX,XX,  Ward No-28 Total,20148,6.9,9.1,10.3,10.0,11.7,9.9,28.1,7.2,2.5,4.2,00111
47,51.0,29.0,XXX,XX,XX,  Ward No-29 Total,17763,6.6,8.5,11.1,10.9,10.3,9.0,29.9,7.3,2.2,4.2,00111
47,51.0,30.0,XXX,XX,XX,  Ward No-30 Total,33283,8.2,9.5,10.8,9.7,11.0,10.2,27.8,6.3,2.5,4.1,00111
47,51.0,31.0,XXX,XX,XX,  Ward No-31 Total,33844,9.3,10.6,11.5,9.6,10.4,10.3,25.9,5.7,2.4,4.4,00111
47,53.0,XX.0,XXX,XX,XX,Koyra Upazila Total,193931,9.1,12.0,11.8,8.1,8.7,9.0,25.7,7.0,2.9,5.8,00111
47,53.0,10.0,XXX,XX,XX,  Amadi Union Total,33184,9.4,11.4,11.2,8.1,8.5,8.6,26.6,7.1,3.1,6.1,00111
47,53.0,11.0,XXX,XX,XX,  Bagali Union Total,34477,9.3,12.3,12.0,7.8,8.8,9.0,24.9,7.1,3.0,5.9,00111
47,53.0,22.0,XXX,XX,XX,  Dakshin Bedkashi Union Total,16755,9.2,13.0,12.0,8.0,8.9,8.8,25.8,6.3,2.9,5.2,00111
47,53.0,55.0,XXX,XX,XX,Koyra Union Total,33230,8.9,11.9,12.7,9.2,8.9,9.0,25.0,6.4,2.5,5.4,00111
47,53.0,72.0,XXX,XX,XX,  Maharajpur Union Total,31068,9.4,11.9,12.2,7.9,8.7,9.0,25.4,7.0,3.1,5.4,00111
47,53.0,78.0,XXX,XX,XX,  Maheshwaripur Union Total,29992,8.7,12.1,10.9,7.4,8.2,9.5,26.7,7.6,2.9,6.0,00111
47,53.0,94.0,XXX,XX,XX,  Uttar Bedkashi Union Total,15225,8.5,12.1,11.4,8.0,8.9,9.2,25.5,7.0,2.7,6.6,00111
47,64.0,XX.0,XXX,XX,XX,Paikgachha Upazila Total,247983,8.3,10.2,10.6,8.3,8.9,9.2,27.8,7.3,3.0,6.4,00111
47,64.0,XX.0,XXX,XX,XX,  Paikgachha Paurashava,16017,8.4,9.6,10.2,9.7,9.7,10.1,29.4,6.4,2.3,4.3,00111
47,64.0,1.0,XXX,XX,XX,  Ward No-01 Total,1099,8.2,9.4,10.3,10.7,9.7,8.9,26.9,6.1,2.5,7.3,00111
47,64.0,2.0,XXX,XX,XX,  Ward No-02 Total,1060,10.1,10.0,9.7,7.5,9.3,9.2,27.9,7.6,2.1,6.5,00111
47,64.0,3.0,XXX,XX,XX,  Ward No-03 Total,1290,9.3,7.8,10.5,8.4,9.6,10.1,28.8,7.6,2.6,5.3,00111
47,64.0,4.0,XXX,XX,XX,  Ward No-04 Total,2661,7.9,8.9,9.2,9.7,10.5,9.8,30.9,6.7,2.3,4.1,00111
47,64.0,5.0,XXX,XX,XX,  Ward No-05 Total,2856,8.3,10.4,11.3,9.5,8.9,9.8,30.4,6.0,2.3,3.2,00111
47,64.0,6.0,XXX,XX,XX,  Ward No-06 Total,1989,9.2,9.7,10.5,10.4,8.9,11.0,29.2,6.7,1.7,2.8,00111
47,64.0,7.0,XXX,XX,XX,  Ward No-07 Total,1796,9.7,11.0,10.2,9.6,9.6,10.1,27.3,5.4,2.3,4.7,00111
47,64.0,8.0,XXX,XX,XX,  Ward No-08 Total,1134,6.6,9.5,8.1,10.1,8.6,12.1,33.4,6.5,1.9,3.1,00111
47,64.0,9.0,XXX,XX,XX,  Ward No-09 Total,2132,7.0,9.2,10.8,10.5,11.3,10.3,28.2,5.8,2.5,4.3,00111
47,64.0,16.0,XXX,XX,XX,  Chandkhali Union Total,37734,9.7,12.1,11.6,7.8,8.5,8.4,25.7,7.0,2.9,6.3,00111
47,64.0,27.0,XXX,XX,XX,  Deluti Union Total,15554,7.0,8.6,10.0,7.5,8.4,9.5,29.5,8.7,3.2,7.6,00111
47,64.0,33.0,XXX,XX,XX,  Gadaipur Union Total,19669,8.0,9.8,11.0,8.5,8.9,9.2,28.5,6.9,2.9,6.1,00111
47,64.0,39.0,XXX,XX,XX,  Garuikhali Union Total,22805,8.3,10.5,10.1,8.0,8.4,9.4,27.8,7.5,3.1,6.9,00111
47,64.0,44.0,XXX,XX,XX,  Haridhali Union Total,23415,8.4,9.8,10.9,7.9,9.4,8.7,28.5,7.1,3.2,6.0,00111
47,64.0,50.0,XXX,XX,XX,  Kapilmuni Union Total,33011,8.3,9.6,10.3,8.1,9.2,9.9,28.3,7.1,3.0,6.1,00111
47,64.0,61.0,XXX,XX,XX,  Laskar Union Total,20463,8.1,9.7,10.8,8.9,9.4,8.9,26.7,7.7,3.0,6.6,00111
47,64.0,67.0,XXX,XX,XX,  Lata Union Total,10856,6.5,8.6,9.1,7.4,7.8,9.7,30.4,9.3,3.3,8.0,00111
47,64.0,83.0,XXX,XX,XX,  Raruli Union Total,26152,8.5,11.2,10.9,8.8,8.6,9.1,26.7,6.9,3.0,6.3,00111
47,64.0,89.0,XXX,XX,XX,  Sholadana Union Total,22307,8.0,9.9,10.0,8.8,9.5,9.3,27.4,7.3,2.9,6.9,00111
47,69.0,XX.0,XXX,XX,XX,Phultala Upazila Total,83881,8.7,10.6,11.0,8.4,9.2,10.0,27.0,7.0,2.9,5.3,00111
47,69.0,38.0,XXX,XX,XX,Damodar Union Total,36742,8.4,10.1,11.1,8.6,9.4,10.0,27.5,7.0,2.7,5.1,00111
47,69.0,57.0,XXX,XX,XX,  Jamira Union Total,19138,8.7,12.1,11.1,7.2,8.3,10.1,25.9,7.5,3.2,5.9,00111
47,69.0,76.0,XXX,XX,XX,Phultala Union Total,28001,9.1,10.3,10.6,8.8,9.5,9.9,27.3,6.7,2.8,5.0,00111
47,75.0,XX.0,XXX,XX,XX,Rupsa Upazila Total,179519,9.0,10.8,11.6,9.4,9.6,9.8,25.8,6.4,2.7,4.9,00111
