ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
55,66.0,52.0,XXX,XX,01,  Mohammadpur Union,17423,11.0,14.4,13.4,8.2,7.5,8.4,22.1,6.6,3.2,5.2,00110
55,85.0,XX.0,XXX,XX,01,  Shalikha Upazila,156503,9.3,11.9,11.6,7.7,7.9,9.0,26.1,7.3,3.1,6.1,00110
55,85.0,11.0,XXX,XX,01,  Arpara Union,18914,9.3,12.0,11.9,8.1,8.1,8.6,25.8,7.2,3.2,5.9,00110
55,85.0,59.0,XXX,XX,01,  Shalikha Union,14256,9.7,11.9,10.8,7.7,8.8,9.8,25.2,6.7,3.3,6.0,00110
55,95.0,XX.0,XXX,XX,01,  Sreepur Upazila,161855,9.5,11.5,11.1,8.3,8.3,8.8,25.7,7.6,3.2,6.0,00110
55,95.0,84.0,XXX,XX,01,  Sreepur Union,18677,10.2,11.7,11.2,7.7,8.2,8.6,25.6,7.5,3.1,6.4,00110
50,XX.0,XX.0,XXX,XX,01, Kushtia Zila,1711312,9.3,11.4,10.9,8.0,8.7,9.7,26.7,7.1,3.1,5.2,00110
50,15.0,XX.0,XXX,XX,01,  Bheramara Upazila,169337,9.2,11.5,11.6,8.5,8.8,9.5,26.2,6.8,3.0,4.9,00110
50,15.0,27.0,XXX,XX,01,  Bahir Char Union,20378,9.7,11.9,11.5,9.1,9.2,10.1,25.3,6.3,2.5,4.4,00110
50,15.0,40.0,XXX,XX,01,  Chandgram Union,12988,9.1,11.3,10.2,7.5,9.1,10.3,27.0,7.3,2.8,5.3,00110
50,39.0,XX.0,XXX,XX,01,  Daulatpur Upazila,436926,9.3,11.5,11.1,7.9,8.8,9.5,26.4,7.2,3.1,5.2,00110
