ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total,Muslim,Hindu,Christian,Buddhist,Others,check_var
33,34,XX,XXX,XX,02,  Kaliganj Upazila,45430,40210,4170,1048,2,0,01110
33,86,XX,XXX,XX,02,  Sreepur Upazila,126249,123776,1991,356,31,95,01110
90,23,XX,XXX,XX,02,  Chhatak Upazila,44364,36463,7894,3,4,0,01110
90,29,XX,XXX,XX,02,  Derai Upazila,28157,20757,7386,11,2,1,01110
90,47,XX,XXX,XX,02,  Jagannathpur Upazila,40699,35539,5141,3,6,10,01110
90,89,XX,XXX,XX,02,  Sunamganj Sadar Upazila,65332,51403,13781,52,15,81,01110
36,02,XX,XXX,XX,02,  Ajmiriganj Upazila,13353,9548,3802,0,1,2,01110
36,26,XX,XXX,XX,02,  Chunarughat Upazila,19651,17541,2097,0,2,11,01110
36,44,XX,XXX,XX,02,  Habiganj Sadar Upazila,92826,73225,19352,58,22,169,01110
36,71,XX,XXX,XX,02,  Madhabpur Upazila,21930,14323,7598,2,7,0,01110
36,77,XX,XXX,XX,02,  Nabiganj Upazila,23989,17933,6051,0,4,1,01110
