ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Population,Type of disability (%)-All,Type of disability (%)-Speech,Type of disability (%)-Vision,Type of disability (%)-Hearing,Type of disability (%)-Physical,Type of disability (%)-Mental,Type of disability (%)-Autism,check_var
18.0,7.0,8.0,XXX,XX,XX,  Ward No-08 Total,2536,3.7,0.3,1.8,0.3,0.9,0.4,0.0,00111
18.0,7.0,9.0,XXX,XX,XX,  Ward No-09 Total,2802,1.1,0.2,0.1,0.0,0.3,0.5,0.1,00111
18.0,7.0,13.0,XXX,XX,XX,  Belgachhi Union Total,14426,1.6,0.2,0.3,0.2,0.7,0.1,0.1,00111
18.0,7.0,15.0,XXX,XX,XX,Baradi Union Total,19583,1.4,0.2,0.2,0.1,0.5,0.2,0.2,00111
18.0,7.0,23.0,XXX,XX,XX,Bhangabaria Union Total,27714,1.4,0.2,0.2,0.1,0.6,0.2,0.1,00111
18.0,7.0,27.0,XXX,XX,XX,Chithla Union Total,22613,0.9,0.2,0.1,0.1,0.4,0.1,0.0,00111
18.0,7.0,31.0,XXX,XX,XX,  Dauki Union Total,18731,1.8,0.2,0.3,0.1,0.9,0.2,0.0,00111
18.0,7.0,39.0,XXX,XX,XX,  Gangni Union Total,24042,1.2,0.2,0.1,0.1,0.5,0.2,0.1,00111
18.0,7.0,47.0,XXX,XX,XX,Hardi Union Total,29542,1.9,0.3,0.3,0.2,0.7,0.3,0.1,00111
18.0,7.0,51.0,XXX,XX,XX,  Kalidashpur Union Total,23305,1.1,0.1,0.2,0.0,0.4,0.2,0.1,00111
18.0,7.0,55.0,XXX,XX,XX,Jamjami Union Total,18498,1.4,0.1,0.2,0.1,0.7,0.2,0.0,00111
18.0,7.0,63.0,XXX,XX,XX,Jehala Union Total,22286,1.8,0.2,0.5,0.2,0.6,0.2,0.1,00111
18.0,7.0,71.0,XXX,XX,XX,  Khadimpur Union Total,19855,0.9,0.1,0.1,0.1,0.4,0.1,0.1,00111
18.0,7.0,79.0,XXX,XX,XX,Khaskara Union Total,22865,1.4,0.2,0.3,0.1,0.4,0.2,0.1,00111
18.0,7.0,87.0,XXX,XX,XX,Kumari Union Total,18246,1.4,0.2,0.2,0.1,0.6,0.1,0.1,00111
18.0,7.0,94.0,XXX,XX,XX,  Nagdaha Union Total,32168,1.5,0.2,0.3,0.2,0.6,0.2,0.1,00111
18.0,23.0,XX.0,XXX,XX,XX,Chuadanga Sadar Upazila Total,313935,2.0,0.2,0.5,0.2,0.8,0.2,0.1,00111
18.0,23.0,XX.0,XXX,XX,XX,  Chuadanga Paurashava,85786,1.8,0.2,0.4,0.2,0.7,0.2,0.1,00111
18.0,23.0,1.0,XXX,XX,XX,  Ward No-01 Total,10804,3.0,0.2,0.5,0.2,1.6,0.4,0.1,00111
18.0,23.0,2.0,XXX,XX,XX,  Ward No-02 Total,10812,1.7,0.2,0.5,0.2,0.5,0.2,0.1,00111
18.0,23.0,3.0,XXX,XX,XX,  Ward No-03 Total,7963,1.1,0.2,0.2,0.0,0.4,0.3,0.1,00111
18.0,23.0,4.0,XXX,XX,XX,  Ward No-04 Total,6771,1.4,0.3,0.3,0.1,0.5,0.2,0.1,00111
18.0,23.0,5.0,XXX,XX,XX,  Ward No-05 Total,8948,0.4,0.1,0.0,0.0,0.2,0.1,0.0,00111
18.0,23.0,6.0,XXX,XX,XX,  Ward No-06 Total,10682,1.1,0.1,0.2,0.1,0.4,0.1,0.1,00111
18.0,23.0,7.0,XXX,XX,XX,  Ward No-07 Total,10877,2.0,0.2,0.5,0.3,0.7,0.2,0.1,00111
18.0,23.0,8.0,XXX,XX,XX,  Ward No-08 Total,9605,3.6,0.2,1.1,0.3,1.7,0.3,0.0,00111
18.0,23.0,9.0,XXX,XX,XX,  Ward No-09 Total,9324,1.3,0.2,0.3,0.1,0.6,0.1,0.0,00111
18.0,23.0,11.0,XXX,XX,XX,Alokdia Union Total,28840,0.9,0.1,0.1,0.1,0.4,0.2,0.0,00111
18.0,23.0,23.0,XXX,XX,XX,  Begampur Union Total,41758,5.0,0.3,1.9,0.5,1.8,0.3,0.1,00111
18.0,23.0,47.0,XXX,XX,XX,Kutubpur Union Total,33231,1.2,0.2,0.2,0.1,0.4,0.2,0.0,00111
18.0,23.0,59.0,XXX,XX,XX,Mominpur Union Total,15651,1.3,0.2,0.2,0.2,0.6,0.2,0.0,00111
18.0,23.0,62.0,XXX,XX,XX,  Padmabila Union Total,20214,1.3,0.2,0.3,0.1,0.5,0.1,0.0,00111
18.0,23.0,71.0,XXX,XX,XX,Shankar Chandra Union Total,47315,1.9,0.3,0.3,0.2,0.8,0.3,0.1,00111
18.0,23.0,83.0,XXX,XX,XX,Titudaha Union Total,41140,1.3,0.2,0.1,0.1,0.6,0.1,0.1,00111
18.0,31.0,XX.0,XXX,XX,XX,Damurhuda Upazila Total,289577,1.6,0.2,0.3,0.2,0.7,0.2,0.1,00111
18.0,31.0,XX.0,XXX,XX,XX,  Damurhuda  Paurashava,33396,1.4,0.2,0.2,0.1,0.5,0.3,0.1,00111
18.0,31.0,1.0,XXX,XX,XX,  Ward No-01 Total,3636,0.9,0.2,0.2,0.1,0.4,0.1,0.0,00111
18.0,31.0,2.0,XXX,XX,XX,  Ward No-02 Total,4206,1.0,0.1,0.1,0.1,0.3,0.3,0.1,00111
18.0,31.0,3.0,XXX,XX,XX,  Ward No-03 Total,3628,2.3,0.2,0.4,0.1,1.0,0.3,0.2,00111
18.0,31.0,4.0,XXX,XX,XX,  Ward No-04 Total,3594,1.3,0.2,0.3,0.0,0.3,0.3,0.1,00111
18.0,31.0,5.0,XXX,XX,XX,  Ward No-05 Total,3708,1.7,0.1,0.4,0.1,0.8,0.3,0.1,00111
18.0,31.0,6.0,XXX,XX,XX,  Ward No-06 Total,3711,1.6,0.1,0.2,0.1,0.8,0.2,0.1,00111
