ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,"Population aged 7+, not attending school and employed-Both","Population aged 7+, not attending school and employed-Male","Population aged 7+, not attending school and employed-Female",Field of Activity-Agriculture-Male,Field of Activity-Agriculture-Female,Field of Activity-Industry-Male,Field of Activity-Industry-Female,Field of Activity-Service-Male,Field of Activity-Service-Female,check_var
51,43,90,XXX,XX,03,  Dakshin Hamchadi Union,226,223,3,167,2,7,0,49,1,00110
51,58,11,XXX,XX,03,  Bamni Union,156,151,5,80,1,1,0,70,4,00110
51,58,59,XXX,XX,03,  Keroa Union,639,617,22,427,6,25,3,165,13,00110
51,58,71,XXX,XX,03,  Roypur Union,3,3,0,3,0,0,0,0,0,00110
51,73,13,XXX,XX,03,  Bara Kheri Union,1288,1212,76,933,25,85,8,194,43,00110
51,73,23,XXX,XX,03,  Char Alexandar Union,1845,1758,87,1015,19,67,25,676,43,00110
46,43,31,XXX,XX,03,  Boalkhali Union,1252,1088,164,661,95,130,8,297,61,00110
46,49,25,XXX,XX,03,  Golabari Union,1407,1168,239,802,192,27,3,339,44,00110
46,49,75,XXX,XX,03,  Perachhara Union,1321,1011,310,987,294,12,2,12,14,00110
46,61,71,XXX,XX,03,  Lakshmichhari Union,279,194,85,146,79,17,1,31,5,00110
46,65,31,XXX,XX,03,  Mahalchhari Union,913,788,125,518,72,1,0,269,53,00110
46,67,63,XXX,XX,03,  Manikchhari Union,2214,1844,370,1347,236,8,4,489,130,00110
46,67,87,XXX,XX,03,  Tintahari Union,1414,1125,289,927,213,7,3,191,73,00110
46,77,76,XXX,XX,03,  Panchhari Union,2312,2023,289,1575,212,25,2,423,75,00110
46,80,76,XXX,XX,03,  Ramgarh Union,1013,947,66,782,57,16,3,149,6,00110
22,24,35,XXX,XX,03,  Idgaon Union,1655,1578,77,360,7,75,6,1143,64,00110
22,24,42,XXX,XX,03,  Islamabad Union,2262,2169,93,731,28,226,12,1212,53,00110
22,24,45,XXX,XX,03,  Jalalabad Union,1600,1508,92,874,18,124,20,510,54,00110
22,45,27,XXX,XX,03,  Baraghop Union,3155,2833,322,1336,61,72,7,1425,254,00110
22,56,83,XXX,XX,03,  Pekua Union,3869,3555,314,2846,192,228,8,481,114,00110
22,66,15,XXX,XX,03,  Fatekharkul Union,2164,1970,194,567,42,492,45,911,107,00110
22,66,38,XXX,XX,03,  Joarianala Union,1518,1483,35,1282,20,17,2,184,13,00110
22,90,63,XXX,XX,03,  Teknaf Union,3906,3599,307,1751,163,1517,84,331,60,00110
22,94,47,XXX,XX,03,  Raja Palong Union,3705,3538,167,1664,29,159,4,1715,134,00110
15,04,15,XXX,XX,03,  Anowara Union,177,161,16,86,4,16,1,59,11,00110
15,12,38,XXX,XX,03,  Purba Gomdandi Union,1330,1218,112,330,3,158,36,730,73,00110
15,12,76,XXX,XX,03,  Sakpura Union,925,853,72,308,7,138,33,407,32,00110
