ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
65,52,94,XXX,XX,XX,  Shalnagar Union Total,5446,4066,17936,17933,00111
65,76,01,XXX,XX,XX,  Ward No-01 Total,672,2969,2969,0,00111
65,76,02,XXX,XX,XX,  Ward No-02 Total,737,3261,3261,0,00111
65,76,03,XXX,XX,XX,  Ward No-03 Total,1388,6142,6142,0,00111
65,76,04,XXX,XX,XX,  Ward No-04 Total,1609,6384,6384,0,00111
65,76,05,XXX,XX,XX,  Ward No-05 Total,1690,7053,7014,39,00111
65,76,06,XXX,XX,XX,  Ward No-06 Total,1377,5901,5901,0,00111
65,76,07,XXX,XX,XX,  Ward No-07 Total,1175,5053,5053,0,00111
65,76,08,XXX,XX,XX,  Ward No-08 Total,573,2423,2423,0,00111
65,76,09,XXX,XX,XX,  Ward No-09 Total,724,3113,3113,0,00111
65,76,11,XXX,XX,XX,  Auria Union Total,8013,5375,23801,23801,00111
65,76,13,XXX,XX,XX,  Banshgram Union Total,9788,4110,18345,18345,00111
65,76,20,XXX,XX,XX,  Bhadrabila Union Total,6061,4085,17935,17932,00111
65,76,27,XXX,XX,XX,  Bichhali Union Total,8142,4589,19349,19349,00111
65,76,33,XXX,XX,XX,  Chandibarpur Union Total,6245,3994,17385,17385,00111
65,76,40,XXX,XX,XX,  Habakhali Union Total,5984,3916,17942,17942,00111
65,76,47,XXX,XX,XX,  Kalora Union Total,6984,4524,19478,19477,00111
65,76,54,XXX,XX,XX,  Maij Para Union Total,6915,4972,21927,21914,00111
65,76,61,XXX,XX,XX,Mulia Union Total,2556,2052,9019,9019,00111
65,76,74,XXX,XX,XX,  Sahabad Union Total,4683,3108,13387,13387,00111
65,76,81,XXX,XX,XX,  Shaikhati Union Total,9156,4775,20446,20446,00111
65,76,88,XXX,XX,XX,  Singasolpur Union Total,4698,3538,15049,15049,00111
65,76,94,XXX,XX,XX,  Tularampur Union Total,8258,3812,16510,16510,00111
44,14,01,XXX,XX,XX,  Ward No-01 Total,0,722,2832,2832,00111
44,14,02,XXX,XX,XX,  Ward No-02 Total,0,311,1188,1188,00111
44,14,03,XXX,XX,XX,  Ward No-03 Total,0,500,2125,2125,00111
44,14,04,XXX,XX,XX,  Ward No-04 Total,0,523,2147,2147,00111
44,14,05,XXX,XX,XX,  Ward No-05 Total,0,593,2322,2322,00111
44,14,06,XXX,XX,XX,  Ward No-06 Total,0,776,3356,3356,00111
44,14,07,XXX,XX,XX,  Ward No-07 Total,0,684,2858,2858,00111
44,14,08,XXX,XX,XX,  Ward No-08 Total,0,597,2482,2482,00111
44,14,09,XXX,XX,XX,  Ward No-09 Total,0,679,2701,2701,00111
44,14,10,XXX,XX,XX,  Bhayna Union Total,6097,5735,24352,24352,00111
