ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 3-5 years-Attending school-Male,Population aged 3-5 years-Attending school-Female,Population aged 3-5 years-Not attending school-Male,Population aged 3-5 years-Not attending school-Female,Population aged 6-10 years-Attending school-Male,Population aged 6-10 years-Attending school-Female,Population aged 6-10 years-Not attending school-Male,Population aged 6-10 years-Not attending school-Female,Population aged 11-14 years-Attending school-Male,Population aged 11-14 years-Attending school-Female,Population aged 11-14 years-Not attending school-Male,Population aged 11-14 years-Not attending school-Female,check_var
27,56,31,XXX,XX,03,  Mukundapur Union,24,31,196,192,364,349,55,52,295,271,61,37,00110
27,60,15,XXX,XX,03,  Alokjhari Union,41,29,302,282,448,414,118,110,339,328,67,38,00110
27,64,69,XXX,XX,03,  Shashara Union,8,4,90,93,123,125,30,29,93,88,15,13,00110
27,64,77,XXX,XX,03,  Sekhpura Union,5,11,61,50,106,85,24,18,85,73,16,13,00110
27,69,17,XXX,XX,03,  Binodnagar Union,10,8,146,119,242,192,47,53,163,157,31,18,00110
27,69,43,XXX,XX,03,  Golapganj Union,10,10,79,88,127,137,16,8,76,113,12,14,00110
27,77,86,XXX,XX,03,  Rampur Union,32,18,354,390,591,539,116,115,374,401,98,50,00110
10,06,13,XXX,XX,03,  Adam Dighi Union,26,37,241,210,336,356,219,94,254,220,220,57,00110
10,27,38,XXX,XX,03,  Dhunat Union,38,31,248,261,439,389,173,143,280,217,80,51,00110
10,88,28,XXX,XX,03,  Garidaha Union,66,48,330,298,465,480,155,126,341,350,77,50,00110
10,88,57,XXX,XX,03,  Kusumbi Union,7,7,43,48,82,94,18,13,53,65,18,6,00110
10,88,77,XXX,XX,03,  Shah-Bandegi Union,10,15,581,561,665,716,413,321,676,635,125,87,00110
88,27,27,XXX,XX,03,  Khas Kaulia Union,51,36,653,590,852,752,252,251,476,495,107,60,00110
88,27,47,XXX,XX,03,  Sadia Chandpur Union,26,27,160,149,269,233,51,62,154,188,46,49,00110
88,44,38,XXX,XX,03,  Jamtail Union,27,19,345,312,426,390,222,197,321,368,99,56,00110
88,50,25,XXX,XX,03,  Gandail Union,3,2,22,25,22,31,5,2,28,20,3,3,00110
88,50,77,XXX,XX,03,  Sonamukhi Union,12,12,108,83,146,155,49,53,106,94,28,19,00110
88,61,38,XXX,XX,03,  Dhangara Union,0,2,65,59,81,62,4,8,61,51,5,0,00110
88,67,14,XXX,XX,03,  Gala Union,13,9,336,341,375,337,206,198,177,173,77,68,00110
88,78,16,XXX,XX,03,  Baghbati Union,23,27,313,318,476,419,170,131,302,278,128,58,00110
88,89,84,XXX,XX,03,  Tarash Union,21,23,268,271,356,385,131,154,264,316,73,55,00110
81,12,50,XXX,XX,03,  Ganipur Union,4,7,68,58,82,66,17,19,83,77,4,2,00110
81,31,11,XXX,XX,03,  Deluabari Union,7,9,37,25,57,54,27,20,57,36,6,9,00110
81,34,57,XXX,XX,03,  Matikata Union,13,9,152,122,216,236,58,53,194,168,21,20,00110
81,53,13,XXX,XX,03,  Bakshimail Union,47,39,202,202,437,400,57,51,304,315,35,24,00110
