ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
47,64,89,XXX,XX,XX,  Sholadana Union Total,5072,5046,1,25,22307,11169,11138.0,100.0,00111
47,69,38,XXX,XX,XX,Damodar Union Total,8493,8484,5,4,36742,18374,18368.0,100.0,00111
47,69,57,XXX,XX,XX,  Jamira Union Total,4416,4415,1,0,19138,9475,9663.0,98.0,00111
47,69,76,XXX,XX,XX,Phultala Union Total,6646,6629,6,11,28001,13994,14007.0,100.0,00111
47,75,13,XXX,XX,XX,  Aijganti Union Total,10369,10345,2,22,44318,22313,22005.0,101.0,00111
47,75,27,XXX,XX,XX,  Ghatbhogh Union Total,7188,7183,1,4,33786,16894,16892.0,100.0,00111
47,75,54,XXX,XX,XX,  Naihati Union Total,14456,14380,18,58,58299,29084,29215.0,100.0,00111
47,75,67,XXX,XX,XX,  Sreefaltala Union Total,5802,5793,3,6,25242,12796,12446.0,103.0,00111
47,75,81,XXX,XX,XX,  T. S. Bahirdia Union Total,4080,4062,10,8,17874,9102,8772.0,104.0,00111
47,85,16,XXX,XX,XX,  Ward No-16 Total,6819,6681,11,127,29213,14912,14301.0,104.0,00111
47,85,17,XXX,XX,XX,  Ward No-17 Total,7710,7608,33,69,33163,16471,16692.0,99.0,00111
47,85,18,XXX,XX,XX,  Ward No-18 Total,6065,6000,17,48,27896,14544,13352.0,109.0,00111
47,85,19,XXX,XX,XX,  Ward No-19 Total,4350,4291,2,57,18558,9320,9238.0,101.0,00111
47,85,20,XXX,XX,XX,  Ward No-20 Total,3689,3648,10,31,16624,8458,8166.0,104.0,00111
47,85,25,XXX,XX,XX,  Ward No-25 Total,5076,4983,11,82,21274,10771,10503.0,103.0,00111
47,85,26,XXX,XX,XX,  Ward No-26 Total,5150,5082,8,60,21011,10617,10394.0,102.0,00111
47,94,13,XXX,XX,XX,  Ajugara Union Total,3422,3407,2,13,14709,7351,7358.0,100.0,00111
47,94,27,XXX,XX,XX,Barasat Union Total,4854,4847,3,4,22099,10896,11203.0,97.0,00111
47,94,40,XXX,XX,XX,  Madhupur Union Total,4149,4116,3,30,20254,10581,9673.0,109.0,00111
47,94,54,XXX,XX,XX,  Sachiadah Union Total,3995,3991,2,2,17596,8779,8817.0,100.0,00111
47,94,67,XXX,XX,XX,  Sagladah Union Total,4490,4486,1,3,20126,9753,10373.0,94.0,00111
47,94,81,XXX,XX,XX,Terokhada Union Total,5430,5402,5,23,21925,11003,10922.0,101.0,00111
18,07,01,XXX,XX,XX,  Ward No-01 Total,1012,990,4,18,3971,1983,1988.0,100.0,00111
18,07,02,XXX,XX,XX,  Ward No-02 Total,1030,1021,1,8,4055,1993,2062.0,97.0,00111
18,07,03,XXX,XX,XX,  Ward No-03 Total,745,735,2,8,3049,1519,1530.0,99.0,00111
18,07,04,XXX,XX,XX,  Ward No-04 Total,1095,1079,7,9,4431,2207,2224.0,99.0,00111
18,07,05,XXX,XX,XX,  Ward No-05 Total,988,987,0,1,4027,1946,2081.0,94.0,00111
18,07,06,XXX,XX,XX,  Ward No-06 Total,1028,1027,0,1,3992,1936,2056.0,94.0,00111
18,07,07,XXX,XX,XX,  Ward No-07 Total,820,810,3,7,3185,1574,1611.0,98.0,00111
18,07,08,XXX,XX,XX,  Ward No-08 Total,663,662,0,1,2536,1233,1303.0,95.0,00111
