ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
50,63.0,XX.0,XXX,XX,03,  Khoksa Upazila,4587,10.2,10.8,11.0,8.1,7.7,8.7,27.1,7.4,2.6,6.3,00110
50,63.0,71.0,XXX,XX,03,  Samaspur Union,4587,10.2,10.8,11.0,8.1,7.7,8.7,27.1,7.4,2.6,6.3,00110
50,79.0,XX.0,XXX,XX,03,  Kushtia Sadar Upazila,5435,7.7,10.0,9.8,9.8,10.6,10.8,27.6,7.0,3.0,3.8,00110
50,79.0,50.0,XXX,XX,03,  Battail Union,5435,7.7,10.0,9.8,9.8,10.6,10.8,27.6,7.0,3.0,3.8,00110
50,94.0,XX.0,XXX,XX,03,  Mirpur Upazila,10385,8.8,9.6,10.3,8.7,8.6,10.0,29.6,7.3,2.8,4.4,00110
50,94.0,14.0,XXX,XX,03,  Amla Union,4296,8.4,9.5,10.3,8.6,7.6,9.6,31.1,7.6,2.8,4.4,00110
50,94.0,80.0,XXX,XX,03,  Poradaha Union,6089,9.0,9.6,10.3,8.8,9.2,10.3,28.6,7.1,2.7,4.4,00110
57,XX.0,XX.0,XXX,XX,03, Meherpur Zila,14760,8.1,10.2,10.8,8.1,7.7,8.4,30.2,8.0,2.9,5.6,00110
57,47.0,XX.0,XXX,XX,03,  Gangni Upazila,4739,8.2,11.3,10.0,7.8,8.4,9.4,29.1,7.4,2.8,5.6,00110
57,47.0,10.0,XXX,XX,03,  Bamandi Union,2507,9.1,12.0,10.1,7.7,7.1,9.1,29.6,7.3,2.8,5.2,00110
57,47.0,69.0,XXX,XX,03,  Roypur Union,2232,7.3,10.6,9.8,8.0,9.8,9.6,28.5,7.5,2.9,6.1,00110
57,60.0,XX.0,XXX,XX,03,  Mujib Nagar Upazila,10021,8.1,9.7,11.2,8.3,7.4,8.0,30.7,8.3,2.9,5.5,00110
57,60.0,28.0,XXX,XX,03,  Bagoan Union,10021,8.1,9.7,11.2,8.3,7.4,8.0,30.7,8.3,2.9,5.5,00110
87,XX.0,XX.0,XXX,XX,03, Satkhira Zila,57044,8.4,10.3,10.7,9.8,9.4,9.5,27.2,6.9,2.5,5.2,00110
87,4.0,XX.0,XXX,XX,03,  Assasuni Upazila,8585,7.8,10.9,10.7,9.6,9.0,9.7,26.7,7.1,2.4,5.8,00110
87,4.0,17.0,XXX,XX,03,  Assasuni Union,8585,7.8,10.9,10.7,9.6,9.0,9.7,26.7,7.1,2.4,5.8,00110
87,25.0,XX.0,XXX,XX,03,  Debhata Upazila,2781,6.7,11.1,9.4,9.8,8.7,9.8,29.7,7.2,2.6,5.2,00110
87,25.0,15.0,XXX,XX,03,  Debhata Union,2781,6.7,11.1,9.4,9.8,8.7,9.8,29.7,7.2,2.6,5.2,00110
87,43.0,XX.0,XXX,XX,03,  Kalaroa Upazila,2033,8.2,10.9,11.7,9.1,8.5,9.6,27.4,6.7,3.0,4.9,00110
87,43.0,31.0,XXX,XX,03,  Helatala Union,2033,8.2,10.9,11.7,9.1,8.5,9.6,27.4,6.7,3.0,4.9,00110
87,47.0,XX.0,XXX,XX,03,  Kaliganj Upazila,16863,9.0,10.3,10.8,9.9,10.2,9.8,25.7,6.7,2.6,5.0,00110
87,47.0,13.0,XXX,XX,03,  Bhara Simla Union,4328,8.8,10.0,9.2,9.1,9.5,9.5,27.0,8.2,3.0,5.7,00110
87,47.0,55.0,XXX,XX,03,  Kushlia Union,7061,9.2,10.2,12.3,10.9,10.5,9.5,24.7,5.6,2.3,4.6,00110
87,47.0,63.0,XXX,XX,03,  Mathureshpur Union,3561,9.3,11.2,10.6,9.1,9.8,10.4,25.1,6.8,2.9,4.9,00110
87,47.0,94.0,XXX,XX,03,  Tarali Union,1913,8.2,9.8,9.5,9.7,11.6,10.0,27.1,6.7,2.1,5.3,00110
87,86.0,XX.0,XXX,XX,03,  Shyamnagar Upazila,17254,8.6,10.1,10.8,9.9,9.3,9.3,27.3,6.6,2.5,5.5,00110
87,86.0,94.0,XXX,XX,03,  Shyamnagar Union,17254,8.6,10.1,10.8,9.9,9.3,9.3,27.3,6.6,2.5,5.5,00110
87,90.0,XX.0,XXX,XX,03,  Tala Upazila,9528,8.0,9.8,10.4,9.6,9.0,9.2,29.4,7.3,2.7,4.6,00110
87,90.0,87.0,XXX,XX,03,  Tala Union,9528,8.0,9.8,10.4,9.6,9.0,9.2,29.4,7.3,2.7,4.6,00110
42,XX.0,XX.0,XXX,XX,03, Jhalokati Zila,27169,9.6,11.8,12.6,8.8,7.7,8.2,25.6,7.3,2.9,5.4,00110
42,40.0,XX.0,XXX,XX,03,  Jhalokati Sadar Upazila,875,9.9,12.3,14.2,7.0,6.7,11.3,21.1,8.0,3.4,5.9,00110
42,40.0,85.0,XXX,XX,03,  Ponabalia Union,875,9.9,12.3,14.2,7.0,6.7,11.3,21.1,8.0,3.4,5.9,00110
42,43.0,XX.0,XXX,XX,03,  Kanthalia Upazila,10161,8.9,11.7,11.8,8.5,7.3,7.8,27.1,7.8,3.4,5.8,00110
42,43.0,63.0,XXX,XX,03,  Kanthalia Union,10161,8.9,11.7,11.8,8.5,7.3,7.8,27.1,7.8,3.4,5.8,00110
42,84.0,XX.0,XXX,XX,03,  Rajapur Upazila,16133,10.0,11.8,13.0,9.2,8.1,8.3,24.9,7.0,2.5,5.1,00110
42,84.0,40.0,XXX,XX,03,  Mathbari Union,3163,10.7,11.3,12.3,9.8,9.6,7.4,23.3,6.8,2.9,5.9,00110
42,84.0,54.0,XXX,XX,03,  Rajapur Union,12970,9.9,11.9,13.2,9.0,7.7,8.6,25.3,7.1,2.4,5.0,00110
78,XX.0,XX.0,XXX,XX,03, Patuakhali Zila,77738,9.6,12.7,12.4,8.4,8.1,8.5,25.2,6.8,3.3,5.0,00110
78,38.0,XX.0,XXX,XX,03,  Bauphal Upazila,5481,9.3,14.3,13.0,7.4,8.2,8.4,24.2,6.2,4.3,4.7,00110
78,38.0,29.0,XXX,XX,03,  Bauphal Union,1142,8.8,16.9,14.2,7.0,6.2,8.4,25.7,5.5,2.7,4.6,00110
78,38.0,35.0,XXX,XX,03,  Daspara Union,4339,9.4,13.7,12.7,7.5,8.7,8.4,23.8,6.4,4.7,4.7,00110
78,52.0,XX.0,XXX,XX,03,  Dashmina Upazila,19252,10.4,12.7,12.6,8.1,7.5,8.7,24.7,7.2,3.2,4.9,00110
78,52.0,31.0,XXX,XX,03,  Banshbaria Union,4151,9.6,12.9,13.2,8.0,7.2,8.5,24.7,6.6,3.6,5.6,00110
78,52.0,52.0,XXX,XX,03,  Dashmina Union,15101,10.6,12.6,12.5,8.2,7.5,8.8,24.6,7.3,3.1,4.7,00110
78,55.0,XX.0,XXX,XX,03,  Dumki Upazila,12200,9.3,12.4,11.9,10.6,10.1,8.5,24.0,6.2,2.5,4.4,00110
78,55.0,93.0,XXX,XX,03,  Sreerampur Union,12200,9.3,12.4,11.9,10.6,10.1,8.5,24.0,6.2,2.5,4.4,00110
78,57.0,XX.0,XXX,XX,03,  Galachipa Upazila,4717,10.4,13.0,11.0,8.4,8.0,9.3,25.2,6.5,2.8,5.4,00110
78,57.0,50.0,XXX,XX,03,  Chiknikandi Union,1383,9.4,12.0,10.8,8.3,7.8,9.5,25.2,7.9,3.0,6.0,00110
78,57.0,67.0,XXX,XX,03,  Galachipa Union,3334,10.9,13.4,11.1,8.5,8.1,9.2,25.1,5.9,2.7,5.1,00110
78,66.0,XX.0,XXX,XX,03,  Kala Para Upazila,8845,9.9,12.9,12.7,6.6,8.4,8.8,26.3,6.6,2.7,5.1,00110
78,66.0,83.0,XXX,XX,03,  Tiakhali Union,8845,9.9,12.9,12.7,6.6,8.4,8.8,26.3,6.6,2.7,5.1,00110
78,76.0,XX.0,XXX,XX,03,  Mirzaganj Upazila,22406,8.8,12.4,12.4,8.6,7.6,8.4,26.0,7.1,3.5,5.2,00110
78,76.0,13.0,XXX,XX,03,  Amragachhia Union,2753,7.5,12.6,13.8,9.3,7.6,7.7,26.7,6.9,3.0,4.9,00110
78,76.0,27.0,XXX,XX,03,  Deuli Subidkhali Union,11337,8.2,11.8,12.4,8.6,7.7,8.5,27.5,7.0,3.2,5.0,00110
78,76.0,81.0,XXX,XX,03,  Mirzaganj Union,8316,10.1,13.1,12.0,8.2,7.6,8.5,23.7,7.3,4.1,5.4,00110
78,95.0,XX.0,XXX,XX,03,  Patuakhali Sadar Upazila,4837,9.5,12.4,12.8,7.5,7.5,7.7,25.8,6.8,4.4,5.6,00110
78,95.0,27.0,XXX,XX,03,  Jainkati Union,4837,9.5,12.4,12.8,7.5,7.5,7.7,25.8,6.8,4.4,5.6,00110
