ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
13,79,XX,XXX,XX,01,  Matlab Uttar Upazila,55900,255366,255363,3,01110
13,95,XX,XXX,XX,01,  Shahrasti Upazila,40324,200831,200802,29,01110
3,04,XX,XXX,XX,01,  Alikadam Upazila,6546,34792,34792,0,01110
3,14,XX,XXX,XX,01,  Bandarban Sadar Upazila,10235,46848,46832,16,01110
3,51,XX,XXX,XX,01,  Lama Upazila,18451,89981,89981,0,01110
3,73,XX,XXX,XX,01,  Naikhongchhari Upazila,8617,43531,43531,0,01110
3,89,XX,XXX,XX,01,  Rowangchhari Upazila,5089,22212,22212,0,01110
3,91,XX,XXX,XX,01,  Ruma Upazila,5896,28735,28644,91,01110
3,95,XX,XXX,XX,01,  Thanchi Upazila,4518,21813,21813,0,01110
19,09,XX,XXX,XX,01,  Barura Upazila,72781,355992,355959,33,01110
19,15,XX,XXX,XX,01,  Brahmanpara Upazila,36900,198678,198663,15,01110
19,18,XX,XXX,XX,01,  Burichang Upazila,55930,289049,288882,167,01110
19,27,XX,XXX,XX,01,  Chandina Upazila,60094,301802,301799,3,01110
19,31,XX,XXX,XX,01,  Chauddagram Upazila,79846,405331,405092,239,01110
19,33,XX,XXX,XX,01,  Comilla Sadar Dakshin Upazila,63207,315500,315217,283,01110
19,36,XX,XXX,XX,01,  Daudkandi Upazila,59614,303654,303638,16,01110
19,40,XX,XXX,XX,01,  Debidwar Upazila,70794,369934,369783,151,01110
19,54,XX,XXX,XX,01,  Homna Upazila,34465,177213,177186,27,01110
19,67,XX,XXX,XX,01,  Comilla Adarsha Sadar Upazila,46682,236409,236042,367,01110
19,72,XX,XXX,XX,01,  Laksam Upazila,43040,224087,224075,12,01110
19,74,XX,XXX,XX,01,  Manoharganj Upazila,44608,243754,243719,35,01110
19,75,XX,XXX,XX,01,  Meghna Upazila,20359,106294,106294,0,01110
19,81,XX,XXX,XX,01,  Muradnagar Upazila,95526,490912,490773,139,01110
19,87,XX,XXX,XX,01,  Nangalkot Upazila,67697,347268,347169,99,01110
19,94,XX,XXX,XX,01,  Titas Upazila,35357,181085,181064,21,01110
12,02,XX,XXX,XX,01,  Akhaura Upazila,20378,108953,108953,0,01110
12,04,XX,XXX,XX,01,  Banchharampur Upazila,55841,279809,279806,3,01110
12,07,XX,XXX,XX,01,  Bijoynagar Upazila,47177,249628,249625,3,01110
12,13,XX,XXX,XX,01,  Brahmanbaria Sadar Upazila,58473,328180,328095,85,01110
12,33,XX,XXX,XX,01,  Ashuganj Upazila,26726,143905,143796,109,01110
12,63,XX,XXX,XX,01,  Kasba Upazila,53162,278805,278800,5,01110
12,85,XX,XXX,XX,01,  Nabinagar Upazila,84332,440361,440254,107,01110
12,90,XX,XXX,XX,01,  Nasirnagar Upazila,56059,294083,294071,12,01110
12,94,XX,XXX,XX,01,  Sarail Upazila,49692,268281,268277,4,01110
51,33,XX,XXX,XX,01,  Kamalnagar Upazila,43377,210168,210135,33,01110
51,43,XX,XXX,XX,01,  Lakshmipur Sadar Upazila,126519,598139,597442,697,01110
51,58,XX,XXX,XX,01,  Roypur Upazila,47135,215808,215808,0,01110
51,65,XX,XXX,XX,01,  Ramganj Upazila,50230,240911,240735,176,01110
51,73,XX,XXX,XX,01,  Ramgati Upazila,42877,201165,201024,141,01110
46,43,XX,XXX,XX,01,  Dighinala Upazila,19192,87782,87782,0,01110
46,49,XX,XXX,XX,01,  Khagrachhari Sadar Upazila,9402,42399,42399,0,01110
46,61,XX,XXX,XX,01,  Lakshmichhari Upazila,5606,23907,23907,0,01110
46,65,XX,XXX,XX,01,  Mahalchhari Upazila,9096,40508,40508,0,01110
46,67,XX,XXX,XX,01,  Manikchhari Upazila,5714,26813,26809,4,01110
46,70,XX,XXX,XX,01,  Matiranga Upazila,22228,102564,102429,135,01110
46,77,XX,XXX,XX,01,  Panchhari Upazila,8982,39492,39492,0,01110
46,80,XX,XXX,XX,01,  Ramgarh Upazila,7302,34644,34638,6,01110
22,16,XX,XXX,XX,01,  Chakoria Upazila,75228,401796,401684,112,01110
22,24,XX,XXX,XX,01,  Cox's Bazar Sadar Upazila,41166,235560,234928,632,01110
22,45,XX,XXX,XX,01,  Kutubdia Upazila,17899,99791,99789,2,01110
22,49,XX,XXX,XX,01,  Maheshkhali Upazila,53116,293897,293893,4,01110
22,56,XX,XXX,XX,01,  Pekua Upazila,26549,142356,142278,78,01110
