ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Literate (can write a letter)-Both-Yes,Literate (can write a letter)-Both-No,Literate (can write a letter)-Male-Yes,Literate (can write a letter)-Male-No,Literate (can write a letter)-Female-Yes,Literate (can write a letter)-Female-No,Literacy Rate (%)-Both,Literacy Rate (%)-Male,Literacy Rate (%)-Female,check_var
9.0,18.0,12.0,XXX,XX,03,  Alinagar Union,625,248,313,112,312,136,71.6,73.6,69.6,00110
9.0,18.0,14.0,XXX,XX,03,  Bapta Union,13466,12487,6726,5873,6740,6614,51.9,53.4,50.5,00110
9.0,18.0,36.0,XXX,XX,03,  Dhania Union,3330,3230,1672,1573,1658,1657,50.8,51.5,50.0,00110
9.0,21.0,XX.0,XXX,XX,03,  Burhanuddin Upazila,11875,9212,5852,4292,6023,4920,56.3,57.7,55.0,00110
9.0,21.0,16.0,XXX,XX,03,  Bara Manika Union,4312,3941,2067,1837,2245,2104,52.2,52.9,51.6,00110
9.0,21.0,57.0,XXX,XX,03,  Kutba Union,7563,5271,3785,2455,3778,2816,58.9,60.7,57.3,00110
9.0,25.0,XX.0,XXX,XX,03,  Char Fasson Upazila,8844,10534,4468,5213,4376,5321,45.6,46.2,45.1,00110
9.0,25.0,66.0,XXX,XX,03,  Jinnaghar Union,8844,10534,4468,5213,4376,5321,45.6,46.2,45.1,00110
9.0,54.0,XX.0,XXX,XX,03,  Lalmohan Upazila,5594,7081,2673,3394,2921,3687,44.1,44.1,44.2,00110
9.0,54.0,57.0,XXX,XX,03,  Lalmohan Union,5594,7081,2673,3394,2921,3687,44.1,44.1,44.2,00110
9.0,65.0,XX.0,XXX,XX,03,  Manpura Upazila,481,379,240,190,241,189,55.9,55.8,56.0,00110
9.0,65.0,23.0,XXX,XX,03,  Hajirhat Union,481,379,240,190,241,189,55.9,55.8,56.0,00110
9.0,91.0,XX.0,XXX,XX,03,  Tazumuddin Upazila,7745,9761,4202,4867,3543,4894,44.2,46.3,42.0,00110
9.0,91.0,57.0,XXX,XX,03,  Chandpur Union,7745,9761,4202,4867,3543,4894,44.2,46.3,42.0,00110
4.0,XX.0,XX.0,XXX,XX,03, Barguna Zila,13262,9268,6655,4453,6607,4815,58.9,59.9,57.8,00110
4.0,9.0,XX.0,XXX,XX,03,  Amtali Upazila,1807,2037,892,1001,915,1036,47.0,47.1,46.9,00110
4.0,9.0,13.0,XXX,XX,03,  Amtali Union,1807,2037,892,1001,915,1036,47.0,47.1,46.9,00110
4.0,19.0,XX.0,XXX,XX,03,  Bamna Upazila,4714,1976,2405,910,2309,1066,70.5,72.5,68.4,00110
4.0,19.0,23.0,XXX,XX,03,  Bamna Union,4714,1976,2405,910,2309,1066,70.5,72.5,68.4,00110
4.0,47.0,XX.0,XXX,XX,03,  Betagi Upazila,1226,1031,635,497,591,534,54.3,56.1,52.5,00110
4.0,47.0,11.0,XXX,XX,03,  Betagi Union,1226,1031,635,497,591,534,54.3,56.1,52.5,00110
4.0,85.0,XX.0,XXX,XX,03,  Patharghata Upazila,5515,4224,2723,2045,2792,2179,56.6,57.1,56.2,00110
4.0,85.0,23.0,XXX,XX,03,  Kakchira Union,2015,1238,1006,542,1009,696,61.9,65.0,59.2,00110
4.0,85.0,35.0,XXX,XX,03,  Kalmegha Union,3314,2845,1626,1433,1688,1412,53.8,53.2,54.5,00110
4.0,85.0,71.0,XXX,XX,03,  Patharghata Union,186,141,91,70,95,71,56.9,56.5,57.2,00110
52.0,XX.0,XX.0,XXX,XX,03, Lalmonirhat Zila,18554,14013,9969,6391,8585,7622,57.0,60.9,53.0,00110
