ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Literate (can write a letter)-Both-Yes,Literate (can write a letter)-Both-No,Literate (can write a letter)-Male-Yes,Literate (can write a letter)-Male-No,Literate (can write a letter)-Female-Yes,Literate (can write a letter)-Female-No,Literacy Rate (%)-Both,Literacy Rate (%)-Male,Literacy Rate (%)-Female,check_var
19.0,74.0,13.0,XXX,XX,01,  Baishgaon Union,10468,9192,4409,4221,6059,4971,53.2,51.1,54.9,00110
19.0,75.0,XX.0,XXX,XX,01,  Meghna Upazila,39454,49177,21397,23018,18057,26159,44.5,48.2,40.8,00110
19.0,75.0,43.0,XXX,XX,01,  Gobindapur Union,5146,6784,2555,3132,2591,3652,43.1,44.9,41.5,00110
19.0,81.0,XX.0,XXX,XX,01,  Muradnagar Upazila,194147,205768,92439,93352,101708,112416,48.5,49.8,47.5,00110
19.0,81.0,54.0,XXX,XX,01,  Muradnagar Union,7430,9371,3490,4190,3940,5181,44.2,45.4,43.2,00110
19.0,81.0,63.0,XXX,XX,01,  Paschim Nabipur Union,5243,5251,2642,2609,2601,2642,50.0,50.3,49.6,00110
19.0,87.0,XX.0,XXX,XX,01,  Nangalkot Upazila,145309,139099,62909,64122,82400,74977,51.1,49.5,52.4,00110
19.0,94.0,XX.0,XXX,XX,01,  Titas Upazila,63980,85894,30427,38882,33553,47012,42.7,43.9,41.6,00110
19.0,94.0,67.0,XXX,XX,01,  Karikandi Union,7173,6895,3383,3105,3790,3790,51.0,52.1,50.0,00110
12.0,XX.0,XX.0,XXX,XX,01, Brahmanbaria Zila,812500,1086030,385257,509837,427243,576193,42.8,43.0,42.6,00110
12.0,2.0,XX.0,XXX,XX,01,  Akhaura Upazila,43882,44474,20631,21057,23251,23417,49.7,49.5,49.8,00110
12.0,4.0,XX.0,XXX,XX,01,  Banchharampur Upazila,85916,141312,40863,62858,45053,78454,37.8,39.4,36.5,00110
12.0,4.0,94.0,XXX,XX,01,  Banchharampur Union,3910,5327,1953,2253,1957,3074,42.3,46.4,38.9,00110
12.0,7.0,XX.0,XXX,XX,01,  Bijoynagar Upazila,83605,115092,40521,55112,43084,59980,42.1,42.4,41.8,00110
12.0,7.0,32.0,XXX,XX,01,  Chandura Union,7533,12242,3786,5877,3747,6365,38.1,39.2,37.1,00110
12.0,7.0,91.0,XXX,XX,01,  Uttar Ichhapur Union,4977,4832,2401,2310,2576,2522,50.7,51.0,50.5,00110
12.0,13.0,XX.0,XXX,XX,01,  Brahmanbaria Sadar Upazila,120924,138501,58735,68216,62189,70285,46.6,46.3,46.9,00110
12.0,13.0,50.0,XXX,XX,01,  Shuhilpur Union,10774,14595,5391,7057,5383,7538,42.5,43.3,41.7,00110
12.0,13.0,93.0,XXX,XX,01,  Uttar Natai Union,8406,9751,4587,4872,3819,4879,46.3,48.5,43.9,00110
12.0,33.0,XX.0,XXX,XX,01,  Ashuganj Upazila,57170,56456,27471,26609,29699,29847,50.3,50.8,49.9,00110
12.0,33.0,12.0,XXX,XX,01,  Araisidha Union,8627,7154,4034,3307,4593,3847,54.7,55.0,54.4,00110
12.0,33.0,14.0,XXX,XX,01,  Ashugang Union,3696,4751,1642,2177,2054,2574,43.8,43.0,44.4,00110
12.0,33.0,38.0,XXX,XX,01,  Durgapur Union,8019,9865,3865,4692,4154,5173,44.8,45.2,44.5,00110
12.0,63.0,XX.0,XXX,XX,01,  Kasba Upazila,112681,113087,52215,52803,60466,60284,49.9,49.7,50.1,00110
12.0,85.0,XX.0,XXX,XX,01,  Nabinagar Upazila,149183,200112,66194,92666,82989,107446,42.7,41.7,43.6,00110
12.0,90.0,XX.0,XXX,XX,01,  Nasirnagar Upazila,78215,150734,38737,71505,39478,79229,34.2,35.1,33.3,00110
12.0,90.0,87.0,XXX,XX,01,  Nasirnagar Union,3955,5015,1758,2404,2197,2611,44.1,42.2,45.7,00110
12.0,94.0,XX.0,XXX,XX,01,  Sarail Upazila,80924,126262,39890,59011,41034,67251,39.1,40.3,37.9,00110
51.0,XX.0,XX.0,XXX,XX,01, Lakshmipur Zila,571746,628006,263378,298782,308368,329224,47.7,46.9,48.4,00110
51.0,33.0,XX.0,XXX,XX,01,  Kamalnagar Upazila,50032,116153,25920,56216,24112,59937,30.1,31.6,28.7,00110
