ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 7+ and not attending school-Both,Population aged 7+ and not attending school-Male,Population aged 7+ and not attending school-Female,Employment Status-Employed-Male,Employment Status-Employed-Female,Employment Status-Looking for work-Male,Employment Status-Looking for work-Female,Employment Status-Household work-Male,Employment Status-Household work-Female,Employment Status-Do not work-Male,Employment Status-Do not work-Female,check_var
79,47,15,XXX,XX,01,  Amrajuri Union,820,401,419,322,67,3,0,3,284.0,73,68,00110
79,47,47,XXX,XX,01,  Kawkhali Union,1840,853,987,663,48,1,1,27,735.0,162,203,00110
79,58,60,XXX,XX,01,  Mathbaria Union,1214,595,619,393,22,5,2,20,442.0,177,153,00110
79,76,52,XXX,XX,01,  Nazirpur Union,2277,1068,1209,828,27,9,5,6,792.0,225,385,00110
79,87,76,XXX,XX,01,  Sohagdal Union,1283,602,681,414,63,6,1,5,358.0,177,259,00110
79,87,85,XXX,XX,01,  Sutiakati Union,1851,876,975,660,80,6,5,18,626.0,192,264,00110
79,87,95,XXX,XX,01,  Nesarabad (Swarupkati) Union,1003,472,531,340,31,1,0,2,294.0,129,206,00110
79,90,51,XXX,XX,01,  Pattashi Union,2807,1323,1484,835,57,15,4,181,1038.0,292,385,00110
9,18,12,XXX,XX,01,  Alinagar Union,4144,1968,2176,1465,36,15,6,18,1643.0,470,491,00110
9,18,14,XXX,XX,01,  Bapta Union,1264,591,673,466,13,7,1,3,542.0,115,117,00110
9,18,36,XXX,XX,01,  Dhania Union,6825,3437,3388,2710,73,27,8,19,2569.0,681,738,00110
9,21,16,XXX,XX,01,  Bara Manika Union,8521,3967,4554,3135,104,38,33,70,3685.0,724,732,00110
9,21,57,XXX,XX,01,  Kutba Union,1404,628,776,480,26,3,2,5,580.0,140,168,00110
9,65,23,XXX,XX,01,  Hajirhat Union,7831,4011,3820,3248,58,27,12,22,3164.0,714,586,00110
9,91,57,XXX,XX,01,  Chandpur Union,7369,3740,3629,3053,132,29,8,46,2851.0,612,638,00110
4,09,13,XXX,XX,01,  Amtali Union,4071,1845,2226,1326,84,35,17,148,1605.0,336,520,00110
4,19,23,XXX,XX,01,  Bamna Union,1672,718,954,408,17,10,1,110,682.0,190,254,00110
4,47,11,XXX,XX,01,  Betagi Union,1514,619,895,478,28,4,0,18,642.0,119,225,00110
4,85,23,XXX,XX,01,  Kakchira Union,1553,657,896,523,22,6,3,21,654.0,107,217,00110
4,85,35,XXX,XX,01,  Kalmegha Union,1944,877,1067,651,46,9,5,11,742.0,206,274,00110
4,85,71,XXX,XX,01,  Patharghata Union,3003,1581,1422,1241,64,46,12,21,957.0,273,389,00110
52,02,10,XXX,XX,01,  Bhadai Union,2059,882,1177,785,46,2,1,15,971.0,80,159,00110
52,33,76,XXX,XX,01,  Shingimari Union,6676,3012,3664,2685,204,24,23,29,3153.0,274,284,00110
52,39,95,XXX,XX,01,  Tushbhandar Union,9497,4411,5086,3897,308,23,8,40,4233.0,451,537,00110
77,04,67,XXX,XX,01,  Radhanagar Union,2949,1165,1784,1059,185,1,2,3,1412.0,102,185,00110
77,04,81,XXX,XX,01,  Taria Union,5172,2103,3069,1804,137,4,7,17,2598.0,278,327,00110
