ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Number of Households,Type of Structure (%)-Pucka,Type of Structure (%)-Semi-pucka,Type of Structure (%)-Kutcha,Type of Structure (%)-Jhupri,Toilet Facility (%)-Sanitary (water-sealed),Toilet Facility (%)-Sanitary (non water-sealed),Toilet Facility (%)-Non-sanitary,Toilet Facility (%)-None,check_var
50.0,15.0,27.0,XXX,XX,01,  Bahir Char Union,4521,10.0,43.7,45.5,0.8,27.9,41.7,27.0,3.5,00110
50.0,15.0,40.0,XXX,XX,01,  Chandgram Union,3111,4.9,59.9,34.6,0.6,19.6,29.5,49.3,1.6,00110
50.0,39.0,XX.0,XXX,XX,01,  Daulatpur Upazila,110618,3.8,37.9,57.1,1.3,9.0,26.1,59.1,5.8,00110
50.0,39.0,33.0,XXX,XX,01,  Daulatpur Union,7621,3.9,46.2,49.6,0.3,14.2,22.4,53.0,10.4,00110
50.0,39.0,61.0,XXX,XX,01,  Mathurapur Union,7195,6.0,46.4,45.8,1.9,14.2,26.0,53.8,5.9,00110
50.0,63.0,XX.0,XXX,XX,01,  Khoksa Upazila,26827,2.0,14.1,82.8,1.2,50.4,31.0,15.6,3.0,00110
50.0,63.0,71.0,XXX,XX,01,  Samaspur Union,2066,0.9,13.8,82.7,2.6,41.4,44.0,9.7,4.8,00110
50.0,71.0,XX.0,XXX,XX,01,  Kumarkhali Upazila,73678,3.3,18.9,76.7,1.1,17.8,44.5,34.5,3.2,00110
50.0,79.0,XX.0,XXX,XX,01,  Kushtia Sadar Upazila,95546,9.5,27.9,62.0,0.6,32.8,34.6,27.4,5.2,00110
50.0,79.0,50.0,XXX,XX,01,  Battail Union,9696,8.0,30.3,61.6,0.1,23.1,48.5,25.6,2.7,00110
50.0,94.0,XX.0,XXX,XX,01,  Mirpur Upazila,74662,5.4,33.9,59.9,0.8,22.5,33.8,37.3,6.4,00110
50.0,94.0,14.0,XXX,XX,01,  Amla Union,6175,5.8,47.7,45.7,0.8,18.8,34.3,42.4,4.4,00110
50.0,94.0,80.0,XXX,XX,01,  Poradaha Union,7744,7.8,23.7,68.3,0.1,15.2,43.0,37.0,4.8,00110
57.0,XX.0,XX.0,XXX,XX,01, Meherpur Zila,145631,18.0,32.6,46.1,3.4,17.5,25.7,48.2,8.6,00110
57.0,47.0,XX.0,XXX,XX,01,  Gangni Upazila,69866,13.8,41.1,42.1,3.0,12.9,24.3,53.6,9.1,00110
57.0,47.0,10.0,XXX,XX,01,  Bamandi Union,6102,15.4,56.1,25.0,3.5,15.7,21.8,55.8,6.8,00110
57.0,47.0,69.0,XXX,XX,01,  Roypur Union,4866,12.0,47.8,38.7,1.4,20.8,33.4,38.0,7.9,00110
57.0,60.0,XX.0,XXX,XX,01,  Mujib Nagar Upazila,22090,26.2,22.7,48.0,3.1,23.0,24.3,43.3,9.4,00110
57.0,60.0,28.0,XXX,XX,01,  Bagoan Union,7344,20.7,20.4,57.9,1.0,13.2,15.8,55.2,15.8,00110
57.0,87.0,XX.0,XXX,XX,01,  Meherpur Sadar Upazila,53675,20.0,25.6,50.5,3.9,21.2,28.2,43.1,7.5,00110
87.0,XX.0,XX.0,XXX,XX,01, Satkhira Zila,422470,12.4,27.3,59.0,1.3,18.7,37.8,39.5,3.9,00110
87.0,4.0,XX.0,XXX,XX,01,  Assasuni Upazila,59952,10.7,14.3,74.2,0.7,27.5,36.3,32.7,3.5,00110
87.0,4.0,17.0,XXX,XX,01,  Assasuni Union,3410,15.4,11.1,73.3,0.2,38.0,38.6,21.8,1.6,00110
87.0,25.0,XX.0,XXX,XX,01,  Debhata Upazila,29059,19.1,36.7,43.3,1.0,49.8,30.5,17.4,2.2,00110
87.0,25.0,15.0,XXX,XX,01,  Debhata Union,3195,16.4,41.1,40.9,1.7,45.9,32.6,17.9,3.6,00110
87.0,43.0,XX.0,XXX,XX,01,  Kalaroa Upazila,52180,16.8,32.9,48.2,2.1,15.5,38.1,40.5,5.9,00110
87.0,43.0,31.0,XXX,XX,01,  Helatala Union,4631,11.3,45.3,41.0,2.4,12.5,38.8,40.3,8.3,00110
87.0,47.0,XX.0,XXX,XX,01,  Kaliganj Upazila,60950,14.9,24.5,59.4,1.3,14.8,43.3,40.6,1.4,00110
87.0,47.0,13.0,XXX,XX,01,  Bhara Simla Union,4693,15.3,39.8,44.0,0.9,9.9,58.7,30.6,0.8,00110
87.0,47.0,55.0,XXX,XX,01,  Kushlia Union,3728,19.1,27.4,49.8,3.7,10.6,29.3,59.6,0.5,00110
