ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Population,Type of disability (%)-All,Type of disability (%)-Speech,Type of disability (%)-Vision,Type of disability (%)-Hearing,Type of disability (%)-Physical,Type of disability (%)-Mental,Type of disability (%)-Autism
47,53,11,-9,-9,-9,  Bagali Union Total,34477,2.3,0.2,0.6,0.3,0.8,0.3,0.0
47,53,22,-9,-9,-9,  Dakshin Bedkashi Union Total,16755,2.9,0.2,0.6,0.3,1.4,0.2,0.2
47,53,55,-9,-9,-9,Koyra Union Total,33230,2.5,0.2,0.5,0.3,1.0,0.3,0.2
47,53,55,-9,-9,1,  Koyra Union,21636,2.2,0.3,0.6,0.2,0.7,0.3,0.1
47,53,55,-9,-9,3,  Koyra Union,11594,2.9,0.1,0.5,0.3,1.5,0.3,0.3
47,53,72,-9,-9,-9,  Maharajpur Union Total,31068,2.5,0.3,0.6,0.2,1.1,0.2,0.1
47,53,78,-9,-9,-9,  Maheshwaripur Union Total,29992,1.6,0.3,0.3,0.1,0.6,0.2,0.1
47,53,94,-9,-9,-9,  Uttar Bedkashi Union Total,15225,3.7,0.3,0.8,0.3,1.7,0.3,0.2
47,64,-9,-9,-9,-9,Paikgachha Upazila Total,247983,1.9,0.2,0.4,0.2,0.7,0.2,0.1
47,64,-9,-9,-9,1,  Paikgachha Upazila,231966,2.0,0.2,0.5,0.2,0.8,0.2,0.1
47,64,-9,-9,-9,2,  Paikgachha Upazila,16017,0.7,0.1,0.0,0.1,0.3,0.1,0.0
47,64,-9,-9,-9,-9,  Paikgachha Paurashava,16017,0.7,0.1,0.0,0.1,0.3,0.1,0.0
47,64,01,-9,-9,-9,  Ward No-01 Total,1099,1.2,0.3,0.1,0.1,0.6,0.1,0.0
47,64,02,-9,-9,-9,  Ward No-02 Total,1060,0.5,0.1,0.0,0.0,0.1,0.3,0.0
47,64,03,-9,-9,-9,  Ward No-03 Total,1290,0.6,0.2,0.0,0.2,0.2,0.1,0.0
47,64,04,-9,-9,-9,  Ward No-04 Total,2661,0.5,0.1,0.0,0.1,0.3,0.0,0.0
47,64,05,-9,-9,-9,  Ward No-05 Total,2856,0.4,0.0,0.0,0.1,0.1,0.1,0.0
47,64,06,-9,-9,-9,  Ward No-06 Total,1989,1.2,0.2,0.0,0.1,1.0,0.0,0.0
47,64,07,-9,-9,-9,  Ward No-07 Total,1796,0.9,0.1,0.1,0.1,0.3,0.4,0.0
47,64,08,-9,-9,-9,  Ward No-08 Total,1134,0.5,0.2,0.0,0.0,0.2,0.2,0.0
47,64,09,-9,-9,-9,  Ward No-09 Total,2132,0.5,0.0,0.1,0.0,0.2,0.1,0.0
47,64,16,-9,-9,-9,  Chandkhali Union Total,37734,1.7,0.2,0.4,0.2,0.6,0.2,0.1
47,64,27,-9,-9,-9,  Deluti Union Total,15554,1.9,0.2,0.4,0.2,0.8,0.2,0.1
47,64,33,-9,-9,-9,  Gadaipur Union Total,19669,1.4,0.2,0.3,0.1,0.6,0.2,0.0
47,64,39,-9,-9,-9,  Garuikhali Union Total,22805,2.8,0.2,0.7,0.4,1.1,0.4,0.1
47,64,44,-9,-9,-9,  Haridhali Union Total,23415,1.9,0.2,0.4,0.2,0.8,0.3,0.0
47,64,50,-9,-9,-9,  Kapilmuni Union Total,33011,1.8,0.2,0.3,0.2,0.7,0.2,0.1
47,64,61,-9,-9,-9,  Laskar Union Total,20463,1.7,0.2,0.2,0.2,0.8,0.2,0.2
47,64,67,-9,-9,-9,  Lata Union Total,10856,1.3,0.2,0.3,0.1,0.5,0.1,0.0
