DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,Geo,Survey.Units,BCG_Children23M,OPV1_Children23M,PENTA1_Children23M,OPV2_Children23M,PENTA2_Children23M,OPV3_Children23M,PENTA3_Children23M,Measles_Children23M,Fully_Children23M,BCG_Children12M,OPV1_Children12M,PENTA1_Children12M,OPV2_Children12M,PENTA2_Children12M,OPV3_Children12M,PENTA3_Children12M,Measles_Children12M,Fully_Children12M,DropoutPENTA1-PENTA3_Male23M,DropoutPENTA1-PENTA3_Female23M,DropoutPENTA1-PENTA3_Children23M,DropoutPENTA1-Measles_Male23M,DropoutPENTA1-Measles_Female23M,DropoutPENTA1-Measles_Children23M,InvalidPENTA1_Infant12M,InvalidPENTA2_Infant12M,InvalidPENTA3_Infant12M,InvalidMeasles_Infant12M,Measles2ndDoseCrude,Measles2ndDose_Children18M,Measles2ndDose_Children23M,TT1_Mother0-11MChildren,TT2_Mother0-11MChildren,TT3_Mother0-11MChildren,TT4_Mother0-11MChildren,TT5_Mother0-11MChildren,TetanusAtBirth_Mother0-11MChildren,TT1_Woman18-49Y,TT2_Woman18-49Y,TT3_Woman18-49Y,TT4_Woman18-49Y,TT5_Woman18-49Y,Year
36,Habiganj ,60,Sylhet,94,Habiganj,Habiganj,98.1,92.2,92.2,94.7,94.7,94.3,94.3,89.8,82.6,98.1,92.2,92.2,94.7,94.7,94.3,94.3,85.6,79.0,0.0,1.8,1.0,2.1,2.7,2.4,4.9,6.8,8.7,6.0,84.3,68.1,75.2,96.2,95.2,87.1,72.9,54.3,87.6,96.2,93.3,84.3,64.8,46.2,2015
39,Jamalpur ,30,Dhaka,94,Jamalpur,Jamalpur,100.0,95.1,95.1,96.4,96.4,94.9,94.9,93.2,88.9,100.0,95.1,95.1,95.8,95.8,94.4,94.4,90.3,87.2,1.7,3.2,2.4,6.0,5.4,5.7,2.8,2.8,3.4,1.2,82.9,75.2,78.2,99.5,99.0,82.9,61.0,44.3,88.1,96.2,93.8,76.7,56.2,39.0,2015
41,Jessore ,40,Khulna,93,Jessore,Jessore,99.0,95.0,95.0,95.0,95.0,93.6,93.6,92.7,85.5,98.5,94.5,94.5,94.5,94.5,93.1,93.1,89.6,82.9,0.0,3.7,1.9,1.0,5.6,3.4,3.1,4.7,6.4,3.3,87.1,74.4,82.6,98.6,97.6,92.4,75.2,50.0,95.7,99.0,98.6,94.8,78.1,46.7,2015
42,Jhalokati ,10,Barisal,95,Jhalokati,Jhalokati,100.0,97.8,97.8,97.3,97.3,99.0,99.0,97.8,94.5,100.0,97.8,97.8,96.7,96.7,97.8,97.8,93.4,90.0,0.9,0.0,0.5,0.9,0.0,0.5,1.7,3.4,3.4,1.8,93.3,82.7,86.6,100.0,99.0,90.0,78.6,58.6,95.7,100.0,99.5,89.5,71.0,54.3,2015
44,Jhenaidah ,40,Khulna,95,Jhenaidah,Jhenaidah,99.0,93.3,93.3,93.4,93.4,94.4,94.4,89.4,83.0,99.0,93.3,93.3,93.4,93.4,92.8,92.8,80.8,74.9,0.0,2.2,1.0,2.6,7.7,4.8,3.2,5.8,8.8,5.7,88.1,72.2,78.9,97.6,94.8,77.1,59.0,35.7,91.0,99.5,98.6,85.2,69.5,40.0,2015
38,Joypurhat ,50,Rajshahi,95,Joypurhat,Joypurhat,100.0,93.7,93.7,96.4,96.4,98.5,98.5,96.5,91.2,100.0,93.7,93.7,96.4,96.4,98.0,98.0,93.3,88.0,1.7,0.0,1.0,2.5,0.0,1.4,4.7,6.9,7.0,2.2,94.3,85.4,89.8,98.6,97.1,90.0,82.9,63.8,93.3,99.5,97.1,90.0,78.1,54.8,2015
46,Khagrachhari ,20,Chittagong,92,Khagrachari,Khagrachari,100.0,93.7,93.7,95.4,95.4,96.0,96.0,91.6,85.8,100.0,93.7,93.7,95.4,95.4,96.0,96.0,87.9,82.6,0.9,3.0,1.9,3.7,6.0,4.8,4.8,5.8,6.4,3.5,87.6,79.3,81.7,95.7,94.3,82.4,69.5,48.6,85.7,97.6,92.4,76.2,52.4,32.9,2015
47,Khulna ,40,Khulna,92,Khulna,Khulna,99.0,94.4,94.4,92.0,92.0,94.6,94.6,90.6,85.9,99.0,94.4,94.4,92.0,92.0,94.6,94.6,89.6,84.9,1.8,2.0,1.9,5.5,4.1,4.8,2.1,5.3,5.9,3.4,83.3,76.0,79.9,97.6,93.8,85.2,68.1,45.7,87.6,94.8,93.3,86.2,72.9,53.8,2015
47,Khulna ,40,Khulna,88,Khulna CC,Khulna CC,99.0,93.0,93.0,94.7,94.7,93.3,93.3,88.3,85.8,99.0,93.0,93.0,93.4,93.4,92.0,92.0,80.8,79.6,1.0,4.6,2.9,8.2,10.1,9.2,3.8,4.5,5.2,1.5,63.3,55.2,61.1,96.7,94.8,80.0,61.0,45.2,87.1,90.5,89.0,70.0,51.9,32.9,2015
47,Khulna ,40,Khulna,64,Khulna Division,Khulna Division,99.5,94.6,94.6,94.6,94.6,94.8,94.8,92.6,87.2,99.3,94.4,94.4,94.3,94.3,94.1,94.1,88.8,83.6,1.0,2.1,1.5,3.5,4.9,4.2,2.6,4.6,5.9,2.9,87.2,76.8,82.7,98.6,96.7,87.1,69.2,46.9,92.6,97.7,96.5,86.5,69.4,45.3,2015
48,Kishoreganj ,30,Dhaka,96,Kishoreganj,Kishoreganj,100.0,98.3,98.3,97.3,97.3,97.4,97.4,95.1,92.9,100.0,98.3,98.3,97.3,97.3,97.4,97.4,91.7,90.1,0.9,1.0,1.0,2.8,5.8,4.3,0.6,1.7,2.3,0.6,84.8,77.9,82.5,97.6,95.2,83.8,66.2,46.2,83.8,91.4,88.6,77.1,61.9,41.4,2015
49,Kurigram ,55,Rangpur,94,Kurigram,Kurigram,100.0,96.4,96.4,96.9,96.9,95.4,95.4,94.6,88.4,100.0,96.4,96.4,96.9,96.9,94.4,94.4,91.5,84.8,1.1,0.0,0.5,4.2,3.5,3.8,1.5,3.1,6.3,1.7,82.4,75.6,79.3,99.5,99.0,87.6,60.5,35.7,94.8,100.0,97.6,85.7,63.3,44.3,2015
