DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,Geo,Survey.Units,BCG_Children12M,DPT1_Children12M,DPT2_Children12M,DPT3_Children12M,OPV1_Children12M,OPV2_Children12M,OPV3_Children12M,Measles_Children12M,Fully_Children12M,TT1_Woman15-49Y,TT2_Woman15-49Y,TT3_Woman15-49Y,TT4_Woman15-49Y,TT5_Woman15-49Y,TT1_Woman18-25Y,TT2_Woman18-25Y,TT3_Woman18-25Y,TT4_Woman18-25Y,TT5_Woman18-25Y,MeaslesCoverage_Children9M-9Y,OPVCoverage_1stRound_Children59M,OPVCoverage_2stRound_Children59M,OPVCoverage_3stRound_Children59M,OPVCoverage_All_Children59M,VitACoverage_PostPartum,VitACoverage_Children12-59M,VitACoverage_Infants9-11M,AnthelminticCoverage_Children24-59M,Year
36,Habiganj ,60,Sylhet,94,Habiganj,Habiganj,94.3,93.6,91.0,84.1,93.6,91.0,88.6,71.0,67.3,97.6,96.2,75.7,49.5,21.4,89.0,85.7,64.3,35.2,12.9,82.4,92.9,93.8,94.8,91.0,18.1,94.0,94.0,95.2,2006
39,Jamalpur ,30,Dhaka,94,Jamalpur,Jamalpur,98.1,98.1,95.0,85.6,98.1,95.0,93.3,75.0,68.3,95.7,92.9,76.7,40.0,15.7,90.0,82.9,62.4,33.3,12.4,83.3,89.0,92.9,96.2,85.7,28.6,94.3,71.5,84.6,2006
41,Jessore ,40,Khulna,93,Jessore,Jessore,99.0,98.4,97.0,86.8,98.4,97.0,96.5,85.7,75.2,99.0,98.1,79.5,48.1,21.0,97.1,95.2,77.1,46.2,21.9,93.3,98.6,99.5,99.0,98.1,20.5,96.6,96.6,93.6,2006
42,Jhalokati ,10,Barisal,95,Jhalokati,Jhalokati,98.6,95.1,96.7,79.8,95.8,96.7,95.4,78.6,65.8,95.2,91.0,57.6,21.9,8.1,88.1,85.7,69.0,37.6,15.7,92.9,98.1,98.6,96.2,93.8,24.8,90.9,90.9,89.4,2006
44,Jhenaidah ,40,Khulna,95,Jhenaidah,Jhenaidah,100.0,99.2,99.5,94.8,99.2,99.5,99.5,83.8,82.0,95.2,94.3,68.1,39.5,13.3,93.8,88.6,61.9,28.1,12.4,94.3,100.0,100.0,100.0,100.0,9.0,99.5,99.5,96.9,2006
38,Joypurhat ,50,Rajshahi,95,Joypurhat,Joypurhat,100.0,99.3,98.3,81.2,99.3,99.0,94.3,83.6,72.1,96.7,91.9,65.7,39.0,13.3,97.1,94.3,70.0,47.1,21.9,96.2,99.5,99.5,99.5,99.5,34.8,99.0,83.3,97.9,2006
46,Khagrachhari ,20,Chittagong,92,Khagrachari,Khagrachari,93.8,93.3,88.4,74.7,93.3,88.4,81.9,70.7,64.5,93.8,90.5,74.3,44.3,23.8,82.9,77.1,45.2,25.7,12.4,69.5,89.5,90.5,87.6,79.5,40.5,85.0,58.2,78.5,2006
47,Khulna ,40,Khulna,92,Khulna,Khulna,99.0,97.8,96.4,86.1,97.8,97.0,94.3,86.7,78.7,98.6,95.2,76.7,43.8,21.0,97.1,94.8,70.5,42.9,17.1,93.8,99.0,99.5,100.0,99.0,55.7,99.0,99.0,96.0,2006
47,Khulna ,40,Khulna,88,Khulna CC,Khulna CC,99.0,96.3,97.6,89.0,96.3,97.6,94.0,81.3,77.5,98.6,98.1,75.7,40.0,23.8,86.7,81.9,58.1,31.4,12.4,85.2,99.5,99.5,100.0,99.5,51.0,98.0,98.0,92.3,2006
47,Khulna ,40,Khulna,64,Khulna Division,Khulna Division,99.3,97.4,96.8,87.0,97.4,97.2,94.6,83.7,76.6,97.5,95.2,74.1,39.8,18.0,91.8,86.8,62.7,33.8,14.2,88.2,98.4,98.4,98.0,96.2,26.1,95.1,95.1,91.5,2006
48,Kishoreganj ,30,Dhaka,96,Kishoreganj,Kishoreganj,98.1,96.8,94.9,87.5,96.8,96.2,92.0,83.1,78.5,97.6,96.2,81.4,51.0,25.2,94.3,90.0,69.0,42.9,17.1,85.2,98.1,98.1,97.1,95.2,24.8,91.8,78.3,74.3,2006
49,Kurigram ,55,Rangpur,94,Kurigram,Kurigram,99.0,97.2,96.1,83.0,97.2,96.7,91.3,77.6,70.5,95.2,91.4,72.4,36.7,17.1,95.2,88.1,61.4,31.4,12.4,92.4,99.5,98.6,97.6,97.1,27.6,95.1,77.8,,2006
50,Kushtia ,40,Khulna,93,Kushtia,Kushtia,99.0,94.8,94.7,77.4,94.8,95.4,92.0,75.2,64.3,95.2,90.5,68.6,38.6,15.7,93.8,87.1,62.4,24.3,8.6,87.6,98.6,97.1,97.1,94.8,1.9,95.6,95.6,90.6,2006
51,Lakshmipur ,20,Chittagong,95,Lakshmipur,Lakshmipur,95.7,95.0,94.3,78.3,95.0,94.3,86.0,77.4,69.4,97.1,94.8,73.8,42.9,21.4,95.7,91.4,61.9,26.2,7.6,67.6,86.7,84.8,89.5,78.1,21.4,83.6,83.6,67.5,2006
52,Lalmonirhat ,55,Rangpur,96,Lalmonirhat,Lalmonirhat,100.0,98.9,94.9,69.2,98.9,95.6,88.3,73.3,56.3,96.2,92.4,37.6,19.5,6.7,97.1,92.4,55.7,27.6,9.0,97.1,98.6,98.6,97.1,94.8,45.2,96.6,72.2,,2006
54,Madaripur ,30,Dhaka,95,Madaripur,Madaripur,99.5,95.6,94.1,78.8,95.6,94.9,90.4,75.0,64.1,96.7,92.4,66.2,32.4,14.8,91.4,88.1,59.0,27.1,8.1,90.5,98.6,95.7,91.9,89.5,8.6,81.8,63.9,77.2,2006
55,Magura ,40,Khulna,92,Magura,Magura,99.5,98.8,95.6,81.0,98.8,97.1,90.9,86.5,75.0,98.6,96.7,75.2,41.9,18.1,95.2,88.6,67.1,46.2,22.9,91.0,98.1,95.7,96.7,94.3,40.5,91.8,91.8,86.2,2006
56,Manikganj ,30,Dhaka,95,Manikganj,Manikganj,99.0,97.3,96.7,84.1,97.3,96.7,94.4,79.3,72.3,98.1,96.2,70.5,40.5,17.1,86.2,78.1,55.7,31.4,21.0,90.0,100.0,99.0,96.2,95.2,33.8,91.8,79.3,90.7,2006
57,Meherpur ,40,Khulna,94,Meherpur,Meherpur,99.0,99.0,97.1,84.5,99.0,97.1,91.6,81.0,75.0,97.1,92.4,65.2,25.7,11.0,87.1,77.6,41.4,17.6,7.1,81.0,97.6,98.1,96.7,93.3,22.4,91.8,91.8,,2006
58,Maulvibazar ,60,Sylhet,83,Moulavibazar,Moulavibazar,93.8,92.5,85.8,73.9,92.5,86.4,80.2,63.9,57.1,93.3,90.0,71.4,49.0,21.0,80.0,72.4,52.9,28.1,11.9,80.5,94.8,92.9,92.9,88.6,40.5,87.6,87.6,76.3,2006
