thana_Name,Shukhi,Apon,Pill_total,Condom,Inj_vial,Inj_siringe,IUD_normal,IUD_partum,IUD_total,IUD_remove,Imp_normal,Imp_Jadel,Imp_total,implant_remove,ecp,misoprostol,mrm_pack,inj_mgs4,mnp_saset,ifa_number,sanitary_pad,per_male,femalenormal,femalepn,female_total,Permanent_method,Year,Month,District,Division,program
Char Rajibpur,976485,4905,981390,4526910,208989,101987,1293,95,1388,67,2030,200,2230,170,638,3444,0,0,0,4610,5,2964,56,53,108,3072,2018,12,0106,07,distributionGO_thanaconsuprocess
Rajarhat,2513087,4739,2517826,2484273,406295,225621,5282,409,5691,646,5790,0,5790,2110,1835,7947,38,0,0,0,178,1533,902,9,909,2442,2018,12,0106,07,distributionGO_thanaconsuprocess
Azmiriganj,606978,4585,611563,362045,33619,21649,904,130,1034,35,973,25,998,88,380,15389,91,0,0,403,71,260,2171,17,2185,2445,2018,12,0602,06,distributionGO_thanaconsuprocess
Bahubal,923131,5435,928566,1201927,68890,42905,2525,0,2525,89,1818,0,1818,214,825,25241,19,0,14,15913,312,964,1837,0,1837,2801,2018,12,0602,06,distributionGO_thanaconsuprocess
Madhabpur,2484455,11345,2495800,1650978,115459,69385,4285,9,4294,333,4038,6,4044,1479,4534,37509,12,32,20,24,937,2435,2538,286,2820,5255,2018,12,0602,06,distributionGO_thanaconsuprocess
Lakhai,867602,5076,872678,687312,48381,29934,600,28,628,57,1463,0,1463,10,2066,18411,2,6,0,0,1,406,1956,2,1958,2364,2018,12,0602,06,distributionGO_thanaconsuprocess
Habiganj Sadar,1899201,15345,1914546,2205756,203972,122239,6425,861,7286,632,3220,182,3402,657,1863,23042,141,42,5,20763,302,2115,3865,922,4745,6860,2018,12,0602,06,distributionGO_thanaconsuprocess
Baniachhong,1681984,13975,1695959,1702609,94773,64928,2077,28,2105,68,1610,0,1610,55,1279,41415,0,0,0,5,3,1844,3164,19,3182,5026,2018,12,0602,06,distributionGO_thanaconsuprocess
Chunarughat,2270905,8362,2279267,1337563,149141,95036,3369,5,3374,311,1943,0,1943,555,253,35100,5,175,1,14435,160,3150,2077,0,2077,5227,2018,12,0602,06,distributionGO_thanaconsuprocess
Nabiganj,1713016,11344,1724360,927981,94548,55738,5499,22,5521,1965,4331,6,4337,1872,1013,34057,82,8,0,179248,290,3123,2645,2,2647,5770,2018,12,0602,06,distributionGO_thanaconsuprocess
Gopalganj Sadar,2537749,12325,2550074,3946951,181627,103090,7108,55,7163,40,5067,0,5067,422,1790,0,0,0,89,0,1,12420,7627,584,8211,20631,2018,12,0401,04,distributionGO_thanaconsuprocess
Muksudpur,3787019,10384,3797403,4361753,304161,171858,6601,205,6806,89,2946,98,3044,51,1584,4733,1,0,0,0,0,1016,3517,216,3735,4751,2018,12,0401,04,distributionGO_thanaconsuprocess
Tungipara,1441718,5085,1446803,2016441,98176,54155,1812,5,1817,64,1870,0,1870,600,1821,3036,1,0,0,0,22,534,1786,5,1791,2325,2018,12,0401,04,distributionGO_thanaconsuprocess
Kotalipara,2239418,11441,2250859,1562203,114126,61721,4242,21,4263,564,5500,287,5787,1146,1800,9924,14,0,2,0,116,305,3195,1413,4608,4913,2018,12,0401,04,distributionGO_thanaconsuprocess
Kasiani,2090073,9593,2099666,3112336,191158,110298,3749,271,4020,511,3761,3,3764,823,3122,3956,17,1,61,17428,61,570,2961,205,3154,3724,2018,12,0401,04,distributionGO_thanaconsuprocess
Brahmanbaria Sadar,2667139,15804,2682943,6893125,504224,260262,13529,62,13591,883,7500,317,7817,1570,4620,9923,0,0,0,0,16,1381,4430,548,4922,6303,2018,12,0501,05,distributionGO_thanaconsuprocess
Nasirnagar,1668491,10450,1678941,3777641,189846,112577,2769,1,2770,27,2829,153,2982,158,1997,6934,0,4,0,201,47,1098,2891,0,2848,3946,2018,12,0501,05,distributionGO_thanaconsuprocess
Nabinagar,2210080,18134,2228214,8658615,449723,249377,7537,7,7544,249,3348,0,3348,42,4030,7554,1,0,0,0,419,781,3415,335,3750,4531,2018,12,0501,05,distributionGO_thanaconsuprocess
Kashba,2648064,11352,2659416,6561723,215673,92741,7559,0,7559,126,3383,112,3495,8,2346,7936,2,0,0,0,145,461,2271,5,2276,2737,2018,12,0501,05,distributionGO_thanaconsuprocess
Sarail,1661033,7777,1668810,4190624,261657,155237,5495,0,5495,37,5746,0,5746,50,1939,7154,0,0,55,0,20,178,1479,13,1493,1671,2018,12,0501,05,distributionGO_thanaconsuprocess
Bancharampur,1519472,9592,1529064,3486308,450310,229344,9670,8,9678,583,5509,215,5724,2438,2712,9408,13,0,0,0,23,156,2329,539,2848,3004,2018,12,0501,05,distributionGO_thanaconsuprocess
Akhaura,861221,5730,866951,1203534,131671,70332,1921,5,1926,129,1693,376,2069,708,769,6698,1,1,1,68775,266,1023,662,0,666,1689,2018,12,0501,05,distributionGO_thanaconsuprocess
Ashuganj,724042,6517,730559,1779129,124131,70963,5200,0,5200,69,1977,6,1983,0,1586,4033,0,0,0,0,0,194,1824,24,1848,2042,2018,12,0501,05,distributionGO_thanaconsuprocess
Bijoy Nagar,1032440,12081,1044521,2064782,178724,152863,2000,1,2001,133,1716,0,1716,30,215,8883,0,0,0,31150,45,424,803,0,803,1227,2018,12,0501,05,distributionGO_thanaconsuprocess
Kazipur,2430634,10745,2441379,3751265,367389,148133,8777,0,8777,25,4128,103,4231,0,4519,12448,0,0,0,0,0,1573,824,13,833,2406,2018,12,0116,01,distributionGO_thanaconsuprocess
