thana_Name,Shukhi,Apon,Condom,Inj_Vial,Inj_Siringe,IUD_Normal,IUD_Partum,IUD_Remove,Implanon,Jadel,Implant_Remove,ECP,Misoprostol,MRM_Pack,Inj_mgs4,MNP_Saset,IFA_number,Sanitary_Pad,NSV,Tubectomy_Normal,Tubectomy_Partum,Year,Month,District,Division,program
Shazadpur,1107771,314,2703602,144933,89412,1864,0,322,112,0,5,308,534,0,0,0,0,0,42,39,1,2018,12,0116,01,distributionNGO_thanaconsuprocess
Jhikarghachha,217894,448,447154,68044,39172,0,0,0,11,0,2,415,210,0,0,0,0,0,40,118,0,2018,12,0207,02,distributionNGO_thanaconsuprocess
Jessore Sadar,3488203,0,4921982,543864,347735,4539,60,246,9556,0,786,1428,8,0,0,0,0,0,9149,1733,364,2018,12,0207,02,distributionNGO_thanaconsuprocess
Sarsa,765337,263,1775148,117351,58450,100,0,0,181,0,0,2363,223,0,0,0,0,0,167,47,2,2018,12,0207,02,distributionNGO_thanaconsuprocess
Keshobpur,213370,260,156800,51950,17112,0,0,0,58,0,0,0,0,0,0,0,0,0,10,1,102,2018,12,0207,02,distributionNGO_thanaconsuprocess
Bagherpara,673078,0,2120999,106318,70473,450,0,14,225,0,0,89,0,0,0,0,0,0,22,23,1,2018,12,0207,02,distributionNGO_thanaconsuprocess
Monirampur,304119,0,364412,54821,31064,0,0,0,53,0,0,185,0,0,0,0,0,0,111,18,0,2018,12,0207,02,distributionNGO_thanaconsuprocess
Abhaynagar,164198,281,1019545,79339,53256,1902,9,67,50,0,0,105,178,49,0,0,0,0,17,8,0,2018,12,0207,02,distributionNGO_thanaconsuprocess
Chowgachha,34995,0,44534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,12,0207,02,distributionNGO_thanaconsuprocess
Senbag,219051,152,1031639,32082,11807,446,0,0,28,0,0,185,279,0,0,0,0,0,3,11,0,2018,12,0505,05,distributionNGO_thanaconsuprocess
Begumganj,211655,1062,444154,43513,20956,399,4,28,179,0,1,385,642,0,0,0,0,0,13,25,0,2018,12,0505,05,distributionNGO_thanaconsuprocess
Companiganj,281734,197,733916,46784,18041,221,0,0,138,36,0,124,857,0,0,0,0,0,1,43,0,2018,12,0505,05,distributionNGO_thanaconsuprocess
Sudharam (Sadar),649570,699,1914276,122885,59840,1850,2,147,5661,0,1527,687,250,0,0,0,0,0,2658,1431,243,2018,12,0505,05,distributionNGO_thanaconsuprocess
Subarna Char,115090,4695,341125,13185,13195,8,0,0,8,0,0,78,1499,0,0,0,0,0,2,3,0,2018,12,0505,05,distributionNGO_thanaconsuprocess
Kabirhat,32011,1694,77325,4797,4797,0,0,0,99,3,1,0,39,0,0,0,0,0,0,2,2,2018,12,0505,05,distributionNGO_thanaconsuprocess
Langadu,136077,0,178748,0,0,0,0,0,412,0,0,0,0,0,0,0,0,0,59,17,0,2018,12,0509,05,distributionNGO_thanaconsuprocess
Kawkhali,9869,78,26310,3351,3693,3,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,2018,12,0509,05,distributionNGO_thanaconsuprocess
Rangamati Sadar,361420,594,388922,33142,21449,449,22,138,1082,3,408,1141,28,0,0,0,1000,87,76,27,0,2018,12,0509,05,distributionNGO_thanaconsuprocess
Naniarchar,48046,232,43656,724,706,0,0,0,57,3,11,930,0,0,0,0,0,0,0,2,0,2018,12,0509,05,distributionNGO_thanaconsuprocess
Kaptai,26643,99,138038,49,53,0,0,0,8,0,0,36,0,0,0,0,0,0,0,3,0,2018,12,0509,05,distributionNGO_thanaconsuprocess
Rajasthali,33779,97,79192,2929,1379,13,0,0,13,0,0,173,0,0,0,0,0,0,28,10,0,2018,12,0509,05,distributionNGO_thanaconsuprocess
Rupganj,3703,0,24538,7298,0,247,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,2018,12,0409,04,distributionNGO_thanaconsuprocess
Sonargaon,32324,197,78882,8051,8201,407,0,14,837,26,8,29,32,0,0,0,0,0,207,5,0,2018,12,0409,04,distributionNGO_thanaconsuprocess
Narayanganj Sadar,1102943,1778,5832121,320125,182100,8116,639,335,8912,276,1299,552,0,0,0,0,0,2,13033,330,14,2018,12,0409,04,distributionNGO_thanaconsuprocess
Bandar,224668,825,1582052,123256,62125,989,4,41,573,0,6,416,0,0,0,0,80,0,237,147,159,2018,12,0409,04,distributionNGO_thanaconsuprocess
Pirganj,25563,1092,17644,7134,7304,2,0,0,0,0,0,45,540,0,0,0,0,0,0,0,0,2018,12,0102,07,distributionNGO_thanaconsuprocess
Thakurgaon Sadar,328794,2121,373600,99158,54988,1100,15,28,159,6,0,312,237,0,0,0,0,0,68,10,6,2018,12,0102,07,distributionNGO_thanaconsuprocess
Rajbari Sadar,344578,448,1196154,112725,69984,2504,0,146,732,21,29,324,1369,3,0,0,0,0,254,201,223,2018,12,0405,04,distributionNGO_thanaconsuprocess
Baliakandi,397740,825,1955135,119783,54011,596,1,414,702,7,214,78,1096,0,0,0,36,0,241,275,58,2018,12,0405,04,distributionNGO_thanaconsuprocess
Goalunda Ghat,239870,637,1977898,86944,40124,456,0,100,669,32,0,122,1108,0,0,0,0,0,162,276,1,2018,12,0405,04,distributionNGO_thanaconsuprocess
Pangsha,825725,846,2950035,204098,103552,511,0,21,391,0,0,264,623,0,0,0,53,34,364,267,0,2018,12,0405,04,distributionNGO_thanaconsuprocess
Chuadanga Sadar,246380,562,1171358,136511,78112,1214,92,289,1054,0,71,312,679,0,0,0,0,0,151,933,191,2018,12,0203,02,distributionNGO_thanaconsuprocess
Jiban Nagar,703126,188,1084521,105508,70388,664,7,294,1342,14,581,820,0,0,0,0,0,0,25,693,407,2018,12,0203,02,distributionNGO_thanaconsuprocess
Damurhuda,79327,77,536646,49577,25337,140,0,6,215,0,17,174,140,0,0,0,0,0,6,120,117,2018,12,0203,02,distributionNGO_thanaconsuprocess
Alamdanga,45587,15,124859,13254,13940,34,0,4,210,0,0,0,0,0,0,0,0,0,1,5,23,2018,12,0203,02,distributionNGO_thanaconsuprocess
Barisal Sadar,985303,1408,2019797,207510,105355,5166,112,161,5211,251,1068,656,2,0,0,0,0,0,10670,757,242,2018,12,0303,03,distributionNGO_thanaconsuprocess
Uzirpur,83789,200,120056,1989,2091,20,0,0,54,0,0,90,200,0,0,0,0,0,1,22,0,2018,12,0303,03,distributionNGO_thanaconsuprocess
Bakerganj,926,0,5275,234,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,12,0303,03,distributionNGO_thanaconsuprocess
