
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
      0326   35    91     28      1     210          1006
      0327   54    40     25      1     218          1170
      0328   54    40     82      1     196          1115
      0329   54    54     35      1     225          1284
      0330   54    54     77      1     215          1005
      0331   54    80     38      1     251          1330
      0332   54    80     95      1     230          1213
      0333   54    87     36      1     241          1270
      0334   54    87     79      1     240          1271
      0335   82    07     47      1     217          1058
      0336   82    07     95      1     205           970
      0337   82    73     16      1     235          1102
      0338   82    73     35      1     178           834
      0339   82    73     70      1     212          1130
      0340   82    73     95      1     234          1144
      0341   82    76     36      3     218          1071
      0342   82    76     80      1     219           979
      0343   86    14     25      1     215          1018
      0344   86    14     77      1     207          1014
      0345   86    25     71      1     221          1149
      0346   86    36     71      1     256          1356
      0347   86    65     50      1     210          1094
      0348   86    69     19      1     218          1205
      0349   86    69     95      1     229          1256
      0350   86    94     65      1     209           993
      0351   39    07     23      1     215           906
      0352   39    15     29      1     211          1016
      0353   39    29     23      1     199           984
      0354   39    36     07      1     208           898
      0355   39    36     47      1     185           923
      0356   39    36     77      1     225           945
      0357   39    58     35      1     163           770
      0358   39    61     19      1     215           787
      0359   39    61     85      1     207           796
      0360   39    85     52      1     193           833
      0361   89    37     17      1     218           843
      0362   89    67     19      1     276          1160
      0363   89    67     76      1     240          1067
      0364   89    70     69      1     236           925
      0365   89    88     13      1     245          1128
      0366   89    88     40      1     206           873
      0367   89    88     74      1     198           917
      0368   89    90     31      1     195           803
      0369   89    90     71      1     193           812
      0370   48    02     47      1     206          1193
      0371   48    06     77      1     218          1160
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
     -----  ----  -----  -----   ---   ------    ---------
      0372   48    11     83      1     241          1199
      0373   48    33     17      1     249          1245
      0374   48    42     34      1     266          1308
      0375   48    42     94      1     227          1131
      0376   48    45     66      1     253          1187
      0377   48    49     34      1     244          1240
      0378   48    54     11      1     222          1171
      0379   42    59     67      1     213          1104
      0380   48    79     28      1     216          1025
      0381   48    92     13      1     171           955
      0382   61    13     25      1     205           722
      0383   61    13     69      1     229           891
      0384   61    16     42      1     216          1123
      0385   61    20     23      1     212          1109
      0386   61    20     59      3     213          1009
      0387   61    22     18      1     240          1147
      0388   61    22     56      1     205           974
      0389   61    23     15      1     205           973
      0390   61    23     72      1     264          1369
      0391   61    24     47      1     217           887
      0392   61    31     11      1     201           993
      0393   61    31     67      1     229          1224
      0394   61    52     25      1     202           964
      0395   61    52     47      1     203           990
      0396   61    65     16      1     189           803
      0397   61    65     51      1     201           896
      0398   61    72     15      1     192           882
      0399   61    72     55      1     189           941
      0400   61    81     13      1     225          1143
      0401   61    81     45      1     208          1027
      0402   61    81     72      1     206           992
      0403   61    94     19      1     221          1036
      0404   61    94     61      1     205           970
      0405   72    04     47      1     251          1206
      0406   72    09     71      1     192           929
      0407   72    18     77      1     171           736
      0408   72    40     35      1     199          1096
      0409   72    47     13      1     200           945
      0410   72    47     81      1     199           921
      0411   76    56     84      1     235          1300
      0412   72    74     23      1     232          1159
      0413   72    74     94      1     218          1137
      0414   72    83     63      1     239          1171
      0415   93    09     47      1     256          1087
      0416   93    19     54      1     233          1396
      0417   93    23     41      1     237          1046
      0418   93    28     25      1     208           804
      0419   93    28     77      1     222           929
      0420   93    38     58      1     228           934
      0421   93    47     12      1     222           794
      0422   93    47     58      1     246           885
      0423   93    57     21      1     240          1023
      0424   93    57     47      1     240           920
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
     -----  ----  -----  -----   ---   ------    ---------
      0425   93    57     92      1     224           961
      0426   93    66     39      1     211          1008
      0427   93    76     07      1     230          1003
      0428   93    76     73      1     240          1059
      0429   93    85     40      1     197           884
      0430   93    95     37      1     240          1115
      0431   93    95     65      1     223          1040
      0432   26    18     01      2     247          1114
      0433   26    18     03      2     209          1009
      0434   26    18     05      2     226          1093
      0435   26    18     08      2     212          1035
      0436   56    46     01      2     224          1109
      0437   56    46     03      2     183           804
      0438   56    46     06      2     204           965
      0439   56    46     07      2     234           969
      0440   59    56     01      2     211           970
      0441   59    56     04      2     206          1150
      0442   59    56     01      2     177           881
      0443   59    56     06      2     241          1142
      0444   68    60     03      2     236          1085
      0445   68    60     01      2     163           725
      0446   68    60     04      2     218          1113
      0447   68    60     06      2     203           963
      0448   68    60     09      2     196          1012
      0449   68    63     01      2     221          1156
      0450   29    10     02      2     217          1005
      0451   29    18     05      2     211          1060
      0452   29    47     03      2     213           980
      0453   29    47     07      2     262          1153
      0454   35    32     01      2     171           854
      0455   35    32     05      2     234          1202
      0456   35    32     09      2     206          1005
      0457   35    58     06      2     250          1156
      0458   54    40     01      2     209          1070
      0459   54    40     08      2     214          1249
      0460   54    54     03      2     191           931
      0461   54    54     08      2     225          1185
      0462   82    29     01      2     211          1024
      0463   82    29     09      2     199          1065
      0464   82    73     09      2     220          1075
      0465   82    76     06      2     219           998
      0466   86    14     07      2     210           977
      0467   86    65     05      2     206          1083
      0468   86    69     03      2     222          1175
      0469   86    69     09      2     194          1001
      0470   39    15     01      2     233           985
      0471   39    29     07      2     198           843
      0472   39    36     06      2     228          1013
      0473   39    36     12      2     226           940
      0474   39    61     08      2     195           775
      0475   89    70     02      2     240           949
      0476   89    88     01      2     241          1071
      0477   89    88     04      2     269          1135
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
     -----  ----  -----  -----   ---   ------    ---------
      0478   89    88     07      2     199           939
      0479   48    06     02      2     238          1255
      0480   48    11     03      2     202           858
      0481   48    11     09      2     233          1232
      0482   48    49     03      2     224           999
      0483   48    49     09      2     224          1083
      0484   61    13     04      2     237          1058
      0485   61    23     05      2     235          1071
      0486   61    52     01      2     238          1208
      0487   61    52     04      2     253          1264
      0488   61    52     08      2     221          1323
